$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Anxious$10/29/2019 11:59:15 PM$Reviewer: 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$No Script or health Insurance needed to place and order with 10% discount for all purchased. It was nice to have some from them, I just hit them at. WhatsApp only: +1(252)4601212, Wickr or Kik: peterking2014. Email: [email protected] Message code: (Med16) Discreet Delivery
1$Anxious$8/27/2019 4:34:17 PM$Reviewer: Old red, 65-74 on Treatment for 2 to less than 5 years (Patient) $5$5$5$Love this pill. Has helped me for many years off and on. Use it for calming brain down so I can sleep, or when Iâ??m nervous about something. Donâ??t use very often because very hard to get from Dr. so I have to limit my usage. But if it was up to me and easier to get Iâ??d take 1 pill every day. Sure takes the edge off .
2$Anxious$5/10/2019 8:44:32 PM$Reviewer: 55-64 Male  on Treatment for less than 1 month (Patient) $5$5$5$Helped immensely with Stress Anxiety Waking Insomnia and Tinnitus which I did not know it could mask the whining noise in my ears which caused me major anxiety.
3$Anxious$2/16/2019 2:36:49 PM$Reviewer: Pooped out, 65-74 Female  (Patient) $1$1$1$Don’t ever take these drugs! They are horrible for you. The doctors don’t tell you it will make you sick for years if you try getting off them.
4$Anxious$12/17/2018 12:39:26 PM$Reviewer: Steve C, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $1$1$3$People need to realize that this drug is extremely dangerous!  Do not stay on this drug for more than a month!!  I was unfortunate that I had a really stupid, ignorant family doctor (Dr. THOMAS LUNDSTEN, ST. PAUL, MN, now retired) that just kept refilling my Rx and kept upping the daily dosage I was to take for nearly 3 years!!  I wanted to die so bad, and I almost succeeded.  But I have the aftereffects: brain damage, fibromyalgia, headaches, cfs, etc. from the doctors stupidity.  If you know anyone on this drug, PLEASE WARN THEM TO GET OFF OF IT!!!
5$Anxious$11/6/2018 9:13:28 PM$Reviewer: 55-64 Female  on Treatment for 2 to less than 5 years (Patient) $4$4$5$Had a very bad withdrawal experience. It was horrible. Took me 1 year
7$Anxious$6/3/2018 5:53:28 AM$Reviewer: Christine, 65-74 on Treatment for 1 to 6 months (Patient) $5$5$5$I have found Ativan to be my savior, my husband went into a nursing home and l became so anxious about it all, l was a mess but now everything seems easier to bear.
8$Anxious$2/5/2018 12:59:26 AM$Reviewer: russellmeans, 65-74 on Treatment for 10 years or more (Patient) $4$5$4$I have used this drug for a good 20 years. I had big problem with inner ear and vertigo. This was the only drug that helped me. You see with vertigo it can also cause to become very anxious.  
10$Anxious$8/8/2017 12:05:16 AM$Reviewer: Sue, 45-54 Female  on Treatment for 1 to 6 months (Caregiver) $1$1$1$My husband was 38 years old and committed suicide from taking Ativan. It was taken in combination with Welbutrin for depression. Do not take these two together..the ativan made him have body tremors, nervousness, and horrible suicidal thoughts. Do not take Ativan and you become addicted within one month. He was taking it for three months and couldn't handle life anymore. 
11$Anxious$5/23/2017 11:30:00 AM$Reviewer: Martih, 55-64 Female  on Treatment for less than 1 month (Patient) $5$5$5$"Suffer from claustrophobia - had to have an MRI and was horribly nervous about it.  I took two 1mg pills about 1 hour apart and tolerated the MRI perfectly.  However, I slept the rest of the day and all night!  LOL  This really worked well for me and calmed me down so that I could relax and lay still for the hour it took to do the scan.
"
12$Anxious$5/2/2017 11:27:22 PM$Reviewer: Mimi D, 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I take ativan oral for anxiety and PTSD. It has worked better than any of the 9 or 12 they've me in over many, many years. I've been on threes time for 15  years, with no problems stopping when I need to for surgery etc. Lately there's a new black box warning out about this and oxys, but I've been taking them together for years now with no problem... sooooooooo, now my doctor says she can't give them to me anymore so I'm off them for two weeks, and in that time I've slept 2 nights through. I'm on tomazepam which doesn't work much at all. For insomnia, HA!! I've cut way back on the oxys so I can get the ativan back... it's the only drug for me to help with anxiety 
13$Anxious$5/2/2017 12:39:04 AM$Reviewer: Iondees, 35-44 Female  on Treatment for 10 years or more (Patient) $3$5$3$It works awesome.
16$Anxious$1/31/2017 9:43:13 AM$Reviewer: Polinda, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$An excellent medication, out of all meds I tried none were as effective for managing my PTSD symptoms. Completely prevented flashbacks and nightmares and anxiety at night and allowed me to fall asleep very calmly. However I can't give it a 10 because I gained tolerance to the doses incredibly quickly, meaning I had to keep raising the dose to get the same effect, which is dangerous because it is a drug you can become physically addicted to. I would highly recommend this med to those seeking a short term fix while they are becoming stable on another long term med, but would not recommend it as a long term fix due to tolerance and addiction possibilities. I bought Ativan here https://drugstoresale24hss.com/ativan. Maybe my review helpes somebody! 
