$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
183$Mania associated with Bipolar Disorder, Adjunct Treatment$2/2/2012 11:01:08 AM$Reviewer: 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$
187$Mania associated with Bipolar Disorder, Adjunct Treatment$1/4/2012 10:25:02 AM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$I've used many meds over the years. This one does not make me feel like a zombie or sleepy I'm on .5mg and take only when I feel my anxiety attacks coming on or bad restless legs both of which within 10-15 mins are gone. I do take this only when needed am on two other meds that work together for my bipolar and severe migraines. Have been on these meds for several years now. I finally feel in control!!
208$Mania associated with Bipolar Disorder, Adjunct Treatment$10/12/2011 11:20:32 AM$Reviewer: becca, 45-54 Female  on Treatment for 1 to 6 months (Patient) $3$3$3$should i request an increased dose?
235$Mania associated with Bipolar Disorder, Adjunct Treatment$6/14/2011 8:29:05 AM$Reviewer: Atty, 25-34 Female  on Treatment for less than 1 month (Patient) $3$3$3$
390$Mania associated with Bipolar Disorder, Adjunct Treatment$3/28/2010 2:58:45 AM$Reviewer: speedy, 35-44 Female  on Treatment for 1 to 6 months$5$5$5$well i think it works good  slows me down  my mind don race that bad no i dont have to atcks or crying spells  or worry spells  its a pill from the angils but one thing i fine slows your thinking down a lot some time i have to set and think to do something  and it makes you forget things like spelling  dam lol  but its is a good pill   but have to ask your what price you are willing to pay and what you willing to put up whit i cant stop eating and lol  and im rinking the hell out og soda  candy the funny thing is i hate sweets loland it makes you lazy  but no big dead  am aredy king on lazzynezzother then that its a dam really pill  it pick me up  and fix me to a hold person  i like  if you need some thing give a try 
461$Mania associated with Bipolar Disorder, Adjunct Treatment$11/25/2009 11:14:25 PM$Reviewer: MMuffin, 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I started taking Ativan as a teenager to help with a panic disorder and it helped me live a (basically) normal life. I was then diagnosed with Bipolar disorder as a young adult and it has really helped with that too. I usually take one at bedtime and then up to 2 others anytime throughout the day. Ativan has been a Godsend. But... if you are on a high dose it is imperative that you back down slowly- it can be very scary if you don't reduce usage one step at a time.
662$Mania associated with Bipolar Disorder, Adjunct Treatment$2/18/2009 2:07:03 AM$Reviewer: jblender, 13-18 Male  on Treatment for less than 1 month (Patient) $1$2$5$i felt little effects
677$Mania associated with Bipolar Disorder, Adjunct Treatment$2/3/2009 6:22:03 AM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $5$5$5$i have done evr drug u name it for depression adhd  bipolar ptsd,and sever panic/anxiety however ativan is awesome but i am tired just wonder how long it takes to get use to it i just started it.i was on .5 went down to .25 to work me up see if that helps,yes i am calmer than ever.its a miracle med for me i hope i can stay on it.i took klonopin for 8 years it did work for a lot time just got immuned to it.i hope it can help all like it has us here....
784$Mania associated with Bipolar Disorder, Adjunct Treatment$10/1/2008 11:21:10 AM$Reviewer: cathyc, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$Ativan has been a lifesaver for me, no side effects, just calms me down enough to keep me from jumping out of my skin. I have a high tolerance to benzo's, though, so you should start out at a low dosage and figure out what it best for you. I now take 5 mg a day and I function fine.
801$Mania associated with Bipolar Disorder, Adjunct Treatment$9/8/2008 8:24:45 PM$Reviewer: wildcatz, 35-44 Male  on Treatment for less than 1 month (Patient) $4$4$4$makes me able to get out of bed after suffering with severe anxiety
