$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
14$Bipolar Depression$5/23/2018 8:43:59 PM$Reviewer: 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I am bipolar Type 2. I have been on bupropion for at least 15 years. It has been a Godsend for me. Without it, I lack motivation. It has allowed me to live a very successful and fulfilling life. (It also helps keeps your weight down). The downside is that you feel pretty awful if you miss a dose, but I make sure that seldom happens. Not for everyone, I know.You need to eat while taking it. Can cause involuntary jerks and tardic dyskinesia (muscles work slower than your brain) if you donÃ¢Â?Â?t.  I also take gabapentin, which helps eliminate seizures, so I suppose they balance each other out. Also can affect your balance if you arenÃ¢Â?Â?t hydrated. But all this is worth it to me. You learn how to deal with it. Hope this helps!
18$Bipolar Depression$11/4/2017 10:44:17 AM$Reviewer: Sunday, 65-74 on Treatment for less than 1 month (Patient) $3$3$3$"I have been depressed for years, and have been in therapy most of my life, at times  I was emotionally high  other times I was angry, irritable and had difficulties maintaining positive relationships. I am married  25 years my husband is not supportive, however, I have an excellent  psychologist.  I was relieved when I received a diagnostic of Bipolar Disorder, now I know what is ""wrong"". I am takin 75mg 3 pills daily, I  see some improvement. I am reaching out  attempting to socialize. I recently obtained a part time   teaching position. I am looking forward to resuming  activities I had stopped, art projects, I don't think about death and dying as much as I once did. I have lost weight. I don't drink because when I do I feel awful. I cannot tolerate loud noises, I attend church, and I am moving forward with my life and living.  Trying hard to remain in the present."
93$Bipolar Depression$2/5/2014 2:14:30 PM$Reviewer: Tessamess, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$"I have been taking it for two years. I don't feel depressed at all but I think twice in those two years I had an almost breakdown, but there were circumstances, and I think if I hadn't been taking this medication I would have ended up in the psych ward. I feel like a ""normal"" person.  Too bad it doesn't get rid of my conspiracy theories ;)"
94$Bipolar Depression$1/28/2014 2:39:06 PM$Reviewer: Crazy Me, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $3$5$5$This has been a nice supplemental-medication in addition to others that I have used/use. I have no negative complaints. 
128$Bipolar Depression$5/3/2013 2:21:01 PM$Reviewer: Emily, 55-64 Female  on Treatment for less than 1 month (Patient) $3$3$4$It is helping me at the low er dose of 200 mg.  I would like to be taking a higher dose to get the full effect.  I still have fatigue on an ongoing basis.
195$Bipolar Depression$4/11/2011 2:52:21 PM$Reviewer: tammy, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $4$5$5$
202$Bipolar Depression$3/6/2011 12:51:04 PM$Reviewer: beckysmith1975, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$I have been on Bupropion 150mgXL for about 8 months now I started Bupropion in July 2010 and now I have lost 20 lbs in this short period of time I absolutely love this drug and I would recommend this drug to certain overweight people. 
212$Bipolar Depression$1/18/2011 12:17:56 PM$Reviewer: wantstosmileagain, 45-54 Male  on Treatment for less than 1 month (Patient) $3$3$4$Please tell me the mild nausea and stomach cramps will go away.   And the stuffy feeling in my head.  Not sure if the nausea is just related to a sinus problem or if it is the bupropion xl.  I take 300mg a day and i also take trazodone and risperidone at the same time that i started taking bupropion, i quit celexa and remeron cold turkey.  i thought that was what i was supposed to do.
214$Bipolar Depression$1/13/2011 4:20:45 PM$Reviewer: 45-54 Male  on Treatment for less than 1 month (Patient) $4$4$4$
230$Bipolar Depression$10/13/2010 9:34:41 PM$Reviewer: mrsjoct2011, 19-24 Female  on Treatment for less than 1 month (Patient) $3$3$4$I have mild bipolar disorder. I tried exercise and diet changes, but that didn't work. The first day I took Bupropion, I noticed an increase in energy, but after two weeks, my energy level has dropped due to insomnia. I can't seem to sleep at night, but I slept all afternoon. I have slight headaches, thoughts of suicide, loss of appetite and interest in sex. When people talk to me, I feel alert in my mind, but my outward voice is depressed and unable to get the words out. I'm glad some other people mentioned the ringing in the ears. It's only happened one night, but it sounded like my neighbors had a radio on.
