$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
1$Anxiousness associated with Depression$12/2/2019 9:03:25 PM$Reviewer: MyLife, 25-34 on Treatment for 2 to less than 5 years (Patient) $5$2$5$On and off, Mostly on for 3 or so years. 1stly, effects were noticed by others before noticed by myself. Weight loss due to loss of appetite and then mild weight gain once I started feeling a little more care free. This 'drug' definitely helped with my anxiety. It made me overall very positive. Not 100% better but way more bearable. Helped with getting angry. All was great until I started to continuously notice this lack of empathy, cloudiness In what felt like my frontal lobe, my sex drive severely dropped, and then this major suicidal depression came like a freight train for some reason. Honestly It bummed me out but I knew getting off it was for the better. Now that I have been off of it for a few months, I like the natural feeling better. I think. My anxiety is back but I feel like I can deal with it better. My thoughts come easier. My memory is better.. It feels more 'real.'  However I still have a depressing cloud that lingers over me But SO much better then what was happening to me towards the end. I miss not getting angry so easy and the ease of having positive thoughts. However Im hoping that this experience has helped me learn how to balance things on my own without the help of a prescription. Overall it 'worked great,' My dosage might have needed to be changed. It could be the stressful but Im confident that being off medication is more the type of life I wanna live. 
3$Anxiousness associated with Depression$8/14/2019 11:27:34 PM$Reviewer: Grace D, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$This medication has made a world of difference in my life!  I was always so anxious and suffered from depression, but feel like I can handle life much better now.  I initially started with 10 mg and moved up to 20 mg which is perfect for me.  Highly recommend!
9$Anxiousness associated with Depression$2/18/2019 11:01:25 AM$Reviewer: 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$I went through a difficult divorce and because very anxious and depressed. This medication helped me tremendously and made me feel like my old self again. I would recommend it to anyone that is feeling anxious or depressed. It also helped me lose 15 pounds! 
11$Anxiousness associated with Depression$1/22/2019 2:27:49 PM$Reviewer: 35-44 on Treatment for 5 to less than 10 years (Patient) $4$5$4$Been taking this for yeas now. Works well and I didn't have the side effects I did with a lot of others I've tried.
13$Anxiousness associated with Depression$10/28/2018 8:43:41 PM$Reviewer: 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $3$4$4$
19$Anxiousness associated with Depression$5/16/2018 1:08:45 AM$Reviewer: Anxietyandy, 25-34 Male  on Treatment for less than 1 month (Patient) $1$1$1$Horrible. Messed with my stomach and gave me some of the most horrific panic attacks i have ever experienced. 
21$Anxiousness associated with Depression$4/26/2018 11:39:35 PM$Reviewer: Seeking Light , 35-44 Female  on Treatment for less than 1 month (Patient) $5$5$5$
22$Anxiousness associated with Depression$3/27/2018 8:31:15 PM$Reviewer: Serg72 , 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$I’m taking it for almost a year and feel great.
24$Anxiousness associated with Depression$2/5/2018 10:01:59 AM$Reviewer: Peanut, 65-74 Female  on Treatment for less than 1 month (Patient) $1$1$4$Week 3 of 10’s, second try with this med. Terrible non-stop nausea after pill ingestion. Also burning sensation in stomach. No noticeable improvements of my depression and anxiety. Doctor will have to prescribe different medication. 
40$Anxiousness associated with Depression$8/7/2016 10:41:30 PM$Reviewer: dazy7997, 35-44 Female  on Treatment for 10 years or more (Patient) $5$5$5$Keeps me level headed, don't experience any side effects. Haven't had a panic attack, my anxiety is nill. Only side effect I have experienced is the withdrawal when I was without for several weeks; I will never do that again!
55$Anxiousness associated with Depression$3/15/2016 1:24:24 PM$Reviewer: MicheleH, 55-64 Female  on Treatment for 1 to 6 months (Patient) $2$1$4$I have been taking .15 mg. daily for 2-3 months now, and for the past week, have been getting panic attacks.  I take the medication religiously, but it's not working anymore.
61$Anxiousness associated with Depression$1/2/2016 6:49:00 AM$Reviewer: momof3, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $3$1$3$I started taking this in late pregnancy to help relieve my extreme anxiousness and depression. I was barely able to function. It worked at 10mg for a while, then once my baby was born, my dosage was increased to 20mg. I continued to take that dosage for about 2 years until I finally told my doctor that I don't notice a difference in my life and she then upped the dosage to 40mg. Now, I experience anxiety worse than before, along with insomnia and zero sexual interest. My husband and I have not been intimate in 6 months because of this. I see a new doctor next week and I honestly can't wait to try something different. 
1599$Anxiousness associated with Depression$8/13/2018 1:07:27 PM$Reviewer: Julie , 45-54 on Treatment for less than 1 month (Patient) $1$1$1$Took this for 1 week,  make my life horrible. I have more panic attack, made me tired and unable to sleep. Went to ER twice.
1601$Anxiousness associated with Depression$5/9/2018 12:06:34 AM$Reviewer: 25-34 on Treatment for less than 1 month (Patient) $5$3$5$I have been taking this medication for 2 days and have already noticed a change within myself so i like it, but i had to stop taking it asap. I had SEVERE diahrrea from the time i started taking it and have no idea why. If i would have kept taking it, i would have been in the hospital with SEVERE dehydration. I have only seen ONE lady with the same problem. Anyone else have this problem?
1603$Anxiousness associated with Depression$3/21/2018 6:20:18 PM$Reviewer: feel relief, 45-54 on Treatment for 6 months to less than 1 year (Patient) $5$5$5$I have been on celexa 20mg for 6 months. The first 6 weeks was hard, I could not sleep, eat, had headaches, felt tired. I follow my doctors advice continue, with the medication, I exercise, increase my water intake, change my eating habits. Today I have more energy, I am focus have regain my life back. My doctor has reduce the mg I take, so I can discontinue celexa. I also see a therapist for anxiety and stress. I am glad that I continue taking celexa , it work for me.
1604$Anxiousness associated with Depression$3/13/2018 4:57:13 AM$Reviewer: Louis, 45-54 on Treatment for 2 to less than 5 years (Patient) $5$5$5$Two years on Celexa here. The first week was tough, I had tremors, got an annoying coarse voice and felt unwell. I patiently waited for the first month to feel better. Now I can say I got my life back, though my sex drive diminished noticeably.  
1605$Anxiousness associated with Depression$1/11/2018 3:28:52 PM$Reviewer: KratomCured , 25-34 Male  on Treatment for 10 years or more (Patient) $1$1$1$Addictive as heroin, if I didn’t have my meds I would go into severe withdrawal, and would do anything to get some. Haven’t had a relationship or sex in 10 years since I started. Cannot endure the withdrawal while working so I’m dependent/addicted. No positive effects at all for me
1608$Anxiousness associated with Depression$8/16/2017 6:28:31 PM$Reviewer: Steve peace, 25-34 Male  on Treatment for 1 to 6 months (Patient) $3$1$3$I was precribed celexa when I was in my teens. I took it for over 1 month and then stopped taking it for 2 months. Out of the blue for no reason at all I carried out an act of extreme violence and ended up in jail and then was found NCR. The police took my bottle of celexa away during the arrest. That was a very long time ago. Now im out I hired a lawyer and he got the legal system to purge my ncr records. My employment criminal background check has been clean every since. There is no record of it happening. It has been a very stressfull ordeal for me to deal with the system all these years.
1615$Anxiousness associated with Depression$1/30/2017 6:59:16 AM$Reviewer: Ronda, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) $4$5$4$I had severe anxiety when driving and just in general for the past 8 years. I would get so nervous while driving I would shake and my heart felt like it was going to explode, I would get really dizzy. I mostly stayed home and it turned into depression. I had taken Celexa before as a teenager when dealing with anxiety, at that time it worked well for me but I got pregnant and stopped taking it since, that was 8 years ago. My doctor prescribed me to Celexa again and after about a month I started noticing that I was feeling so much better. I could drive without much anxiety at all. I wasn't shaking or feeling I was on the verge of an attack. I never realized how much anxiety was taking over my life. The only side effect is pretty bad dry mouth. I bought celexa here http://health-care24h.com/catalog/Depression/buy- Celexa.htm
1627$Anxiousness associated with Depression$5/25/2016 10:27:28 PM$Reviewer: 13-18 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$I switched to celexa after taking zoloft for a while, and I have felt much better with this treatment. I started feeling more alert with celexa, and my overall experience has been great.
1632$Anxiousness associated with Depression$4/20/2016 6:21:34 AM$Reviewer: Anonymous, 19-24 on Treatment for 2 to less than 5 years (Patient) $4$4$4$I didn't realize how much it does for me until I stopped taking it for a couple weeks. Anxiety attacks are very rare and I almost never cry (this used to be a big problem). Doesn't improve my mood much, and sometimes I still can't get out of bed, but I don't get sick from the stress nearly as much. I haven't gained any weight, but my sex drive has been affected much more than I would prefer.
1634$Anxiousness associated with Depression$4/13/2016 6:32:34 AM$Reviewer: 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) $1$1$1$It made me sleep too much , no sex drive , chest pains.
1636$Anxiousness associated with Depression$3/28/2016 1:26:04 PM$Reviewer: Logan, 55-64 on Treatment for 2 to less than 5 years (Patient) $5$5$5$I was experiencing long term problems with anxiety and depression that I finally realized required medical help. After discussing the problems I was dealing with, my doctor prescribed 10mg of citalopram for me with instructions for a return consult in a couple weeks. I felt a little sedated at first but also much more at ease and less depressed. Wife quickly noticed the difference in my demeanor as well and now makes sure that I take the medication on schedule. I had some minor GI upset initially which dissipated. The only other problem with taking the drug was when my doctor increased the dose to 20mg, which caused some sexual difficulties. After contacting my doctor, I was instructed to reduce the dose back to 10mg a day or two before sex might be expected and then back to the 20mg dosage afterwards. I know, this disrupts spontaneity but the overall tradeoff is well worth it for both me and my wife. We're both very happy with the results of the drug.
1637$Anxiousness associated with Depression$3/22/2016 4:32:41 PM$Reviewer: Gemma523, 25-34 on Treatment for 1 to 6 months (Patient) $4$4$4$Before starting this medication I was very nervous about the potential side effects I read about online and other users negative reviews. I have now been on celexa (citalopram 20 mg) for a little over a month and I haven't experienced any negative side effects other than drowsiness after taking the medication. I take it before going to sleep at night so that it does not affect my daily routine. It wasn't until about the 4th week that I began to notice that my anxiety had decreased significantly. I used to become completely overcome with anxiety and worrying almost daily and I have now gone an entire week without becoming anxious at all. I do still experience anxious thoughts on occasion but I am now able to redirect my thinking and let them go rather than obsessively focusing on them and becoming depressed. I have never reviewed anything like this before but as there are so many bad reviews out there I thought it was important to let people know that my experience has been nothing but positive. 
1639$Anxiousness associated with Depression$3/6/2016 12:52:07 PM$Reviewer: sb, 25-34 on Treatment for less than 1 month (Patient) $3$3$3$I've been a real hard time have alot on me with work , trying to make things work with a husband addicted to drugs, raising two girls and  paying all bill. I thought nothing was wrong with me just had to much on me,then someone said you need to find a doctor  to write you something for depression. I thought about that for awhile then decided to do so . the doctor wrote me celexa. i've been on  it for a week. I sleep fine but i'm still sleepy through he day at work and when i get home a crash. I have noticed that things that were bothering me do not as much now 
1640$Anxiousness associated with Depression$2/27/2016 11:09:11 PM$Reviewer: hj503, 19-24 on Treatment for 6 months to less than 1 year (Patient) $5$5$5$"I've been taking Celexa for almost 6 months now and it has been a blessing for me. I take 40 mg every night right before bed and it has helped control my anxiety and depression. I have had anxiety and depression and have been medicated for as long as I can remember. Celexa has been the best medicine for me so far and I have been on plenty of other anxiety and depression medicines. I notice when something begins to upset me or stresses me out, I become slightly dizzy and it feels a little like I'm having an out of body experience to the slightest degree. The feeling and dizziness fade quickly once I'm able to calm down. It's nothing horrible and it doesn't bother me much because the good effects from this medicine outweigh this side effect. I don't have the ""numb"" feeling that everybody talks about. I still feel happy, sad, and angry like I should. I'm just able to get through my days without the crippling effects of anxiety and depression. It was a little hard for me the first few weeks because I was convinced it wasn't working and I felt like my anxiety was actually increasing. But I stuck with it faithfully and at about 6 weeks, I started to feel pretty good. I stopped having so many anxiety episodes during the day and I noticed I was a slightly bit more optimistic about life. I knew it was FINALLY starting to help and it has continually helped me more and more the longer I have stuck with it. I know Celexa isn't for everybody but it's been a literal life saver for me and I'm pleased with the mental progress I've been able to make since being on it. "
1642$Anxiousness associated with Depression$2/12/2016 4:06:11 PM$Reviewer: 25-34 on Treatment for 1 to 6 months (Patient) $5$5$5$Went to the doctor for worsening frequency of panic attacks; never wanted to take medication but got to the point where I was not able to do my job.  Started this and within 2 weeks completely stopped having the attacks.  Overall I feel happier than I ever have, and so much less anxious.  My sex drive isn't as high as it used to be, I have almost no appetite (I only eat because I know I'm supposed to, and hypoglycemia contributes to panic episodes), and I have occasional nausea that goes away quickly, but these side effects are 100% worth it.  I am happy (don't know when I've ever been able to say that) and most importantly, I am able to do my job again!  
1643$Anxiousness associated with Depression$2/12/2016 11:47:11 AM$Reviewer: Crazy Dave, 55-64 on Treatment for 1 to 6 months (Patient) $5$5$5$Had adverse reactions to Welbutrin.  So far this drug has worked well.  Interesting side effect is it cured my fear of heights!
1651$Anxiousness associated with Depression$11/24/2015 12:19:25 PM$Reviewer: Gayle, 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$"I have been on Celexa for at least 10 years . My husband and daughter call it "" my happy pill"".  It has worked very very well for me and I dare not run out of it. I do suffer from with anxiety and depression and have been on many different types of meds for it but Celexa works best for me than any other drug. I have not had any side effects from using Celexa"
1656$Anxiousness associated with Depression$9/23/2015 9:50:19 PM$Reviewer: Lexi, 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$2$5$"I took this medication for about 3 months to treat my anxiety and depression. The first two months I had a lot of nausea always about 1 hour after taking celexa, however, it worked amazing to relieve my anxiety and depression. For the first time in years, I was able to relax and was happy. After the second month though, I just began to feel numb. I didn't care about anything. Things that used to upset me no longer did, but things that used to make me smile didn't affect me either. But my depression prior was severe, so I stayed on it and focused on learning about myself and how unreasonable it is to feel unnecessary anxiety leading to depression. And things were better.

The reason I stopped taking celexa is because it caused SEVERE MEMORY LOSS. It started small. I couldn't remember what happened yesterday. Then, after month two, I couldn't remember conversations people would tell me I had with them. And at the end of month three, I was standing in front of a desk somewhere  (I don't even remember where I was) with a woman in front of me asking me what my name was. I stared blankly at her. I couldn't remember. I apologized and had to pull out my wallet and look at my drivers license to remember my middle name. I then began researching the drug and discovered that memory loss is a common side affect. I immediately stopped taking it, but it still took me about 3 months for my memory to return to normal. But on a positive note, it  feels back to normal now (about 1 year later) I apologized to my friends and let them know what I was going through, and surprisingly, one of my friends who I've known to have memory problems told me that he was taking the same medication. He ended up cutting his dose in half afterwards and noticed an improvement in memory. I still recommend it as a relief from the pit of anxiety and depression, so you can understand how life should feel, but I would never recommend it long term. Use the time on it to learn how to live."
1659$Anxiousness associated with Depression$8/29/2015 3:30:03 PM$Reviewer: 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $3$3$5$i was diagnosed with anxiety disorder and then she changed my diagnoses to generalized anxiety disorder with major depression this is something iv been dealing with most of my life when i first stated taking this drug i was happy again had energy stopped binge eating lost 15lbs it was great then i started pulling my hair again so went back see my doctor and she told me according to new growth i have had trichotillomania (i pull my hair out when im stressed out) for years now so she doubled my meds it seems to be getting worse 
1660$Anxiousness associated with Depression$8/24/2015 3:54:19 PM$Reviewer: wax45601, 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$at first I had to break the 20mg tab in half, take 10 in am 10 in pm as 20 all at once really messed with me, after getting used to it I now take 20 in the morning. Has helped immensely, have lost some weight, but sometimes I get sharp pains in my head. overall I like it, ppl have noticed a change for the better in me.
16$Repeated Episodes of Anxiety$7/10/2018 10:59:40 PM$Reviewer: 35-44 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I have had a little bit of anxiety most of my life, but after my mother in law passed it was full blow, my Dr put me on this and it has worked wonderful for me for years!!
17$Repeated Episodes of Anxiety$7/4/2018 6:55:48 AM$Reviewer: 19-24 on Treatment for 1 to 6 months (Patient) $1$1$1$i have severe social anxiety and struggle with negative automatic thoughts. Im about to go onto 6 weeks of use. i've had alot of the side effects (fatigue, interrupted sleep, nausea) but i have felt no difference in terms of my anxiety. Considering other medications
42$Repeated Episodes of Anxiety$7/9/2016 12:29:54 PM$Reviewer: Jane Smith , 25-34 on Treatment for 5 to less than 10 years (Patient) $5$5$5$This has been an excellent medicine to treat my anxiety and OCD symptoms (checking behaviors).  No side effects at all except fast heart beat / sweating episodes in the first days of taking the medicine. Some indication this medicine also helps reduce eczema -- I have found this to be the case as well. 
43$Repeated Episodes of Anxiety$7/5/2016 5:05:09 PM$Reviewer: nessa, 35-44 on Treatment for 6 months to less than 1 year (Patient) $1$2$1$I was prescribed this for high anxiety . Dr said you will gradually step back a notch in daily routines as very high anxiety and impulsive . I started with the 10 mg 5 months ago  1 pill daily then increase to 20 mg . Been on 20 mg for 2 month's and not feeling any different . He also Prescribed me 1 mg Ativan PRN as well. Maybe give it more time? 
44$Repeated Episodes of Anxiety$6/28/2016 7:49:09 AM$Reviewer: Rager, 45-54 on Treatment for 2 to less than 5 years (Patient) $4$4$4$I did not experience any tiredness as others have. After a year, I bumped up to 40mg (from 20). It was too much and I hated the effects (i don't remember exactly but i dropped back to 20). I wish there were a 30mg pill. I tried breaking a 20 in half and making 30's but it was never a clean cut in the pill so the daily dose was not consistently 30 and i just dropped to 20. after now two years, I feel its not working the same for me although i don't often get the rage attacks I did when off of them.
45$Repeated Episodes of Anxiety$6/15/2016 10:18:39 AM$Reviewer: 45-54 on Treatment for 2 to less than 5 years (Patient) $5$2$5$Medicine worked well. However, after taking it for several years, had a problem with an elongated q-t interval so my doctor had me stop taking it and switch to something else. My heart problem went away quickly after stopping the medication.
57$Repeated Episodes of Anxiety$2/22/2016 5:25:50 PM$Reviewer: 65-74 Female  on Treatment for 5 to less than 10 years (Patient) $1$1$5$After at least 5 years using this drug---which i don't think ever worked!--I am attempting to quit it.  I have gone very slowly---so far about 4 months, slowly cutting down, and months to go.  It is HIGHLY ADDICTIVE.  The first time i tried to quit, i had crying jags, was screaming at people, hanging up on the phone, and driving angry---none of which was typical or my normal bahaviour. I don't think ANYONE should take it.
59$Repeated Episodes of Anxiety$2/11/2016 7:07:56 AM$Reviewer: 45-54 Male  on Treatment for 1 to 6 months (Patient) $2$3$4$
62$Repeated Episodes of Anxiety$12/29/2015 8:46:32 PM$Reviewer: 35-44 on Treatment for 2 to less than 5 years (Patient) $5$5$5$Started having frequent panic attacks and was showing signs of agoraphobia. Started at 2.5 mg day. Had nausea 
80$Repeated Episodes of Anxiety$2/16/2015 9:24:05 AM$Reviewer: nosette, 75 or over Female  on Treatment for 1 to 6 months (Patient) $1$1$3$Citalopram just about did me in. i was short of breath just getting dressed, dizzy, diarrhea, insomnia, unsteady, headaches, shaking and many more.  Bad drug for me. 
82$Repeated Episodes of Anxiety$1/30/2015 11:17:12 AM$Reviewer: KeithE, 55-64 Male  on Treatment for 1 to 6 months (Patient) $5$4$5$I was experiencing severe anxiety daily, and depression for approximately 2 months before seeing the doctor. This medication worked wonders for me and the anxiety/depression was gone in 4-5 weeks.  My only concern is weight gain.  I have gained 20 pounds in the past 4 months and don't know if this is related to the use.
