$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
2$Anxiousness associated with Depression$5/5/2019 1:08:43 PM$Reviewer: LeeLee, 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I previously took this medicine every day, along with my antidepressant which I have been taking for years.  I now only have to take alprazolam as needed, if I have anxiety, or trouble getting to sleep and it works great.  I guess if I wasn't on the antidepressant I would probably have to take the alprazolam daily.  But I have had no problems with alprazolam being addictive, ever.  It has helped me in the past when I've had severe anxiety attacks, and it now continues to help if I still have anxiety attacks, and problems getting to sleep.  I'm happy to have this med, and would recommend it to anyone needing relief from anxiety or sleeplessness, etc.
4$Anxiousness associated with Depression$1/25/2019 6:57:03 AM$Reviewer: stix, 55-64 on Treatment for 2 to less than 5 years (Patient) $5$5$5$i am a w.m.over 50<60 have always had bad anxioty ADHD now AADHD been taking it bout 3yrs.realy helped dealing with my wife's terminal cancer we fought for four years. her death 1.5yrs past was an emotional killer.sank into super depression. alprazolam is the only thing that kept me from suicide or worse i am sure.it made me just clear enough to think about the people who truely have love for me when i did  not.i am sure it helped me see a little clearity  betwen the fine fine spaces between the bouts of TOTAL DEPRESSION.had no regaurd for life(mine or anybody within my five foot circle of my space). alpraz.ER was and is my only glimps of love within me and contol(so to speek)of my very very quick temper and rage, so i supoze(i am sure)put my depression in a bit of check for short piriods of time just for the short glimps of reality.rounded the rough edges of depression,anxioty,loss of love(hatetred for myself and anyones life) and was and is a lifesaver for myself and the fools(anyone wanting to confront or joke at my expence)who have no idea of the CRAZY thoughts in this confused and so messed up mush of a brain....
7$Anxiousness associated with Depression$2/7/2018 7:27:29 PM$Reviewer: PharmaB, 45-54 Female  (Patient) $5$5$5$Very effective also very habit forming.  Withdrawal is horrendous.
10$Anxiousness associated with Depression$8/23/2017 12:52:38 PM$Reviewer: Cbrown5209, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$
13$Anxiousness associated with Depression$2/26/2017 5:35:14 PM$Reviewer: 55-64 Female  on Treatment for less than 1 month (Patient) $3$4$4$I have a ( spindle cell sarcoma in my spinal track, about 10 inches long ) pain pump is not working nor were opiates. I can't barely walk and use walker, cane, and wheel chair. I feel I'm terminal which causes much stress as I'm married,own a new house , have a cock-a-too who will live for many years and things I must still do for family. This drug helps from crying and laying awake all night.
16$Anxiousness associated with Depression$12/28/2016 4:52:19 PM$Reviewer: thomasinjc, 55-64 on Treatment for 10 years or more (Patient) $4$5$4$I suffered from a brutal childhood and now with a diagnosis of PTSD, (Vietnam Vet.) I diagnosed by a board certified DO, and a psychiatrist who also agreed. With the addition of Elavil at bed time the nightmares a and daily morning severe anxiety, fear upon waking are very well controlled. As a Navy medic we used these med's which in most cases alleviated (permanently) all symptoms. Xanax was developed and marketed as a non addicting form of valium which is. In my experience I can now alleviate the pain of severe anxiety every morning. It may be psychologically addicting for some but that's it! I now live a more normal life than ever before going back all the way to my days in Vietnam. I wish more doctors would drop their bad opinions so that more people would not have to suffer!          
24$Anxiousness associated with Depression$6/2/2016 9:52:43 PM$Reviewer: Navillus 55, 75 or over on Treatment for 10 years or more (Patient) $5$5$5$I have suffered from depression and anxiety since earliest childhood due to a physically abusive parent and then an extremely poor marriage.  I began taking Alprazolam in my early thirties for extreme tinnitus.  Now,  at age 78, I take a 75 mg. capsule of Effexor XR daily and one mg. tablets of Alprazolam three-to-four times daily as needed.  I can truly say this has been a life saver for me...  Once in a great while I have a mild panic attack, but I can lead an otherwise normal life.  I purchase the generic Effexor XR in Canada, but the Alprazolam is unbelievably inexpensive and I purchase it at a local pharmacy.
25$Anxiousness associated with Depression$5/13/2016 4:38:35 PM$Reviewer: Millie, 45-54 on Treatment for 1 to 6 months (Patient) $5$5$5$I have been on several mess and nothing worked. My doctor out me on alprazolam and it's been great for me. I'm happy
26$Anxiousness associated with Depression$4/28/2016 9:06:13 PM$Reviewer: 65-74 Female  on Treatment for 10 years or more (Patient) $4$1$4$It's addictive,which I don't like.
28$Anxiousness associated with Depression$4/11/2016 1:54:16 PM$Reviewer: Daynas1234, 25-34 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$I take this drug for high anxiety and agoraphobia. I have trouble leaving the house alone. Alprazolam has worked well for me. It calms me without making me too drowsy.
31$Anxiousness associated with Depression$3/5/2016 5:10:59 AM$Reviewer: 35-44 Female  on Treatment for 10 years or more (Patient) $3$1$3$If I knew how almost impossible it is to get off it without getting the worst withdrawals and my nervous system is shot.
48$Anxiousness associated with Depression$1/28/2015 10:55:41 AM$Reviewer: 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$3$
50$Anxiousness associated with Depression$1/15/2015 2:07:12 PM$Reviewer: bobina, 19-24 Female  on Treatment for 1 to 6 months (Patient) $3$5$5$I'm on the .25 mg. Sometimes it helps, sometimes it doesn't, but it sure doesn't hurt to take one when I'm feeling really anxious. I only take it when I need it, not every day, as I heard it can be very addictive if taken daily.
55$Anxiousness associated with Depression$11/19/2014 9:49:17 PM$Reviewer: pearmed, 45-54 Female  on Treatment for 10 years or more (Patient) $5$3$5$BEWARE! Very effective for anxiety disorder. Should you ever stop taking a benzodiazapine, the withdrawal symptoms, even with slow tapering, can be treacherous. I was unable to even function for many months.
57$Anxiousness associated with Depression$11/14/2014 8:02:11 PM$Reviewer: joescraper, 45-54 Female  on Treatment for 10 years or more (Caregiver) $2$1$1$Xanax is highly ADDICTIVE. If you have any history of addiction or even a proclivity toward addiction, Xanax can be a death sentence. You tolerance increases, it becomes less effective and you require more and more until it's hard to separate if your anxiety is real or if your anxiety is related to when you will take your next Xanax pill. Now how depressing is that? VERY depressing. It's a downhill spiral. The pharmaceuticals LIE about the addictive nature of this drug. Please beware. 
59$Anxiousness associated with Depression$8/31/2014 9:33:26 PM$Reviewer: 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$"This is a wonderful medication.  I have been on it for 25 years off and on again.  I have taken as much as 3mg daily, and as little as .5mg daily.  I can sleep at night when I take it.  Once when I had to take a brief break, my MD removed it all at once.  I was so nauseous that the world moved too fast spinning on its axis.  Now I taper off gradually.  No nausea.  It's not expensive.  90 1mg tabs generic without any insurance only costs about $14 monthly at my local pharmacy."
65$Anxiousness associated with Depression$6/24/2014 3:51:36 PM$Reviewer: 25-34 Female  on Treatment for 10 years or more (Patient) $4$3$4$
68$Anxiousness associated with Depression$6/5/2014 11:03:41 AM$Reviewer: Mary, 65-74 Female  on Treatment for 1 to 6 months (Patient) $1$1$5$Depression worsened
75$Anxiousness associated with Depression$4/25/2014 3:08:39 PM$Reviewer: 45-54 Female  on Treatment for 1 to 6 months (Caregiver) $4$5$4$
92$Anxiousness associated with Depression$1/1/2014 11:49:03 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $4$5$5$lower axiety
97$Anxiousness associated with Depression$11/29/2013 6:30:33 PM$Reviewer: morris108, 45-54 on Treatment for 2 to less than 5 years (Patient) $5$4$4$If forgotten I have withdrawl symptoms even going from 1 to a 1/2
102$Anxiousness associated with Depression$10/22/2013 9:26:28 PM$Reviewer: 35-44 Female  on Treatment for 1 to less than 2 years (Patient) $3$1$5$
110$Anxiousness associated with Depression$9/30/2013 12:21:22 PM$Reviewer: 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$5$This begins working within 10 minutes for me. The only downside for me is if I take a whole tablet, I really need to sleep. If I take 1/2 tablet, it just takes the edge off and I can continue with whatever I'm doing. I would certainly recommend this.
116$Anxiousness associated with Depression$8/31/2013 5:56:46 PM$Reviewer: 55-64 Male  on Treatment for less than 1 month$4$5$4$
120$Anxiousness associated with Depression$8/17/2013 2:02:42 PM$Reviewer: crystal kennedy, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$this medication has been very helpfull iv tried all other benzo medication and this one seems to work the best for me
134$Anxiousness associated with Depression$5/23/2013 10:15:19 AM$Reviewer: LK3, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) $3$3$5$This particular substitute does not appear to work as well as others I've taken. As needed seems to be a shorter period (from 8-10 hrs for previous substitutes) to this one being only 4-6/poss 7 hours.
137$Anxiousness associated with Depression$5/17/2013 6:53:04 PM$Reviewer: DrPaul, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I could not Live with out my alprazolam Oral.
138$Anxiousness associated with Depression$5/16/2013 8:00:22 PM$Reviewer: dae, 55-64 Male  on Treatment for 1 to 6 months (Patient) $4$4$4$
148$Anxiousness associated with Depression$4/18/2013 5:19:07 PM$Reviewer: 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$I was prescribed this drug as treatment for depression.  I didn't like taking them because they made me so sleepy.  When I decided to stop taking them I was horrified to find I was totally dependant on them and suffered withdrawl symptoms that were way worse than the symptons for which I was being treated.
149$Anxiousness associated with Depression$4/12/2013 11:22:20 PM$Reviewer: 35-44 on Treatment for 6 months to less than 1 year (Patient) $5$5$5$
151$Anxiousness associated with Depression$4/6/2013 8:29:11 AM$Reviewer: ??, 75 or over Female  on Treatment for 1 to less than 2 years (Patient) $2$3$3$it helps me somewhat , I don't want to get out of bed, once I take 1 0.5 tab, within a half an hour I feel much better
157$Anxiousness associated with Depression$3/10/2013 4:37:09 PM$Reviewer: redo, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$this drug stop my tremor and aniexty
163$Anxiousness associated with Depression$2/13/2013 2:43:04 PM$Reviewer: [email protected], 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $3$4$4$helps with panic attacks and anxiety 
171$Anxiousness associated with Depression$1/17/2013 8:29:26 PM$Reviewer: pooch8999, 35-44 Male  (Patient) $5$5$5$fast acting better than brand
