$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Bipolar Depression$1/14/2020 11:37:47 AM$Reviewer: j, 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$I sleep just fine, I started at 25 mg and slowly went up to 100 mg currently. I'm tired and sleep great.no rash, no unbearable side effects.
1$Bipolar Depression$12/11/2019 3:03:57 PM$Reviewer: PekoeGirl1985, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $1$1$3$"I did not get much sleep while on this medicine. The insomnia side effect is horrendous. Even with adding Ambien to the mix, I still would watch the sun rise. Also, the depersonalization side effect is pretty bad. I just didn't care about anything, and my passion for art was completely gone.

I won't ever take this medicine again. "
2$Bipolar Depression$9/3/2019 6:23:03 PM$Reviewer: pearl , 13-18 Female  on Treatment for less than 1 month (Patient) $2$1$4$only have been taking it for a few days and i’ve been lightheaded with drowsiness. it has made me feel extremely sad, more irritable, and unstable. legit started sobbing out of nowhere in one of my classes. i’ll give it a couple more weeks but so far, not a good experience. it’s only been an issue since they upped me from 250 to 300mg
8$Bipolar Depression$12/12/2018 8:10:36 PM$Reviewer: 45-54 on Treatment for 10 years or more (Patient) $5$5$5$My response is to Susie! She began at a very high dose 100 mg. Lamictal has a black box warning. You need to carefully titrate up on it. Otherwise, you will get the famous Lamictal Rash. I cannot believe anyone would prescribe Lamictal like that carelessly to a patient!! I started out at 25 mg adding 25 each week till I got to my Theraputic Dose of 300 mg. Began when I was 45 and off and on ( I felt better, so I stopped, good grief!) I'm now 64 and glad to be back on the drug. It's great. Takes awful, is my only complaint.
10$Bipolar Depression$9/27/2018 10:31:17 PM$Reviewer: Jlb85, 25-34 on Treatment for 1 to less than 2 years (Patient) $5$5$5$I've been taking this medication for about a year and it's been very effective for me. It helps me feel more steady and stable, and avoid the constant highs and lows of bipolar. My doctor upped my dose when I began a severe bout of sleepwalking after coming off a strong sleep med. After increasing lamotrigine I stopped sleepwalking. My experience with the med has been nothing but good. 
11$Bipolar Depression$6/16/2018 4:21:54 PM$Reviewer: Suzie, 45-54 on Treatment for 1 to 6 months (Patient) $1$1$1$"I hate this medication! I'm 48 and was diagnosed as BP2 4 months ago. Started this med at 100mg, 2 weeks later, 150mg, 3 weeks later 200mg. I""ve had no sleep since starting this med. Because I've had such a horrific time sleeping, I've been so close to loosing my mind. Having hot flashes like crazy, had them slightly before due to being postmenopausal, but even then it was doable because I was not up all night tossing and turning. No sleep, weeping, and worsened depression. Actually thought I'd rather be dead. This sucks!!!!! I am weaning myself off, not sure I will trust any doctor after taking this shit. I was better off on Prozac, at least I didn't want to bite my spouse's head off, nor did I feel like I just wanted to die. This med has made me Bipolar! It's been the worst 4 months of my life, glad I'm still here to tell you not to take this. I quit my job, I nearly lost my marriage which was a gamble I was not prepared to take. Do not take this at high dosages if you can't handle it at the low dosage, you are taking a chance on making your  condition worse."
12$Bipolar Depression$5/24/2018 6:03:51 AM$Reviewer: rack, 25-34 Male  on Treatment for 1 to less than 2 years (Patient) $4$4$5$work very well with depression, but i think my memory is bad, but i prefer have not depression
13$Bipolar Depression$5/13/2018 11:35:50 AM$Reviewer: DonnaRanetta, 35-44 on Treatment for less than 1 month (Patient) $3$1$3$I just started this medication like 2 days ago. I just got diagnosed as bipolar and iâ??ve been suffering with depression for 10 years now. It started when I was 25 yrs old. I was told by my Dr to take this medication at night with my antidepressant which is Celexa. Iâ??ve been experiencing major headaches that lasts all day, nausea, vomiting and upset stomach. On top of that, I canâ??t sleep well. It had me up all night tossing and turning. Come Monday morning Iâ??m calling my Dr and hope she DC this and try me on something else. 
