$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
99$Agitation associated with Schizophrenia$1/29/2015 6:41:54 AM$Reviewer: Sibling, 35-44 Female  on Treatment for less than 1 month (Caregiver) $2$2$4$"Given only once as prn to my sister during two month psychiatric involuntary commitment for ""awakening during the middle of the night, then running and screaming up and down the hallways due to a nightmare"" I would say for being more hysterical/delusional rather than agitated with psychosis.....talked to her later that same morning, and she sounded VERY, VERY SEDATED from the injection!"
100$Agitation associated with Schizophrenia$7/12/2010 5:35:42 AM$Reviewer: radha, 45-54 Female  on Treatment for 2 to less than 5 years (Caregiver) $4$4$4$very good drug,side effect is very less. one problem obisity ,especialy in stomac area, 
8$Schizophrenia$9/18/2012 2:14:32 PM$Reviewer: kaeksen, 35-44 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$"It has worked 100% in my case. I got back to the one i was prior to my schizophrenic start in the early 90's. Lost 18 of my years, but now im happy :)
In my case i had several voices in my head, either helping me, or wanting to be cruel, or other mal adjusted types of conscious behavior. It was like my connections in my head was not connected as for memory concerned, i had big trouble remembering things. Sometimes hard forming sentences (at the end before i finally gave in to drug treatment, as i realized now its time to try something new.)And i dont regret it at all, it was the start of a new life, with the connections in my brain finally working again as they should.
I would recommend others that have trouble with schizophrenia to try this drug. Dont start of with a big dose 20mg, but start with 7.5mg for a week, then if it doesnt work as good as wanted, try 10mg for another week. For me 10mg was enough, but i realize that i might in the future higher the dose. I've been on 10mg for 2 mnths now, and the 10mg keeps working 95%. I sure hope that i dont have to increase the dossage very much in the future, as i hope it will stablelize atleast with a 15mg dossage.
Its very individual how effective the medisine is, from people to people.
In my case i had far too much production of dopamine, and serotonine (neurotransmitters)
So the meds are ""hindering"" the reseptors to use much of the D&S which i produce, and it gives me calm, and makes my brain/mind whole.
I hope i have contributed some. Sorry 4 my bad english. Take care all. :)"
11$Schizophrenia$8/25/2011 9:09:04 PM$Reviewer: 55-64 Female  on Treatment for 10 years or more (Patient) $3$5$1$during dosage adjustment my weight fluxuates
