$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
5$Depression$11/11/2019 1:15:21 PM$Reviewer: 75 or over Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$I am on 7.5 mg mirtazapine and it helps me get my 8 hours of sleep every night. I am taking this specifically for sleeping hey what's happened trouble getting to sleep at night until I started on this drug. I found that I was also depressed from the loss of my husband therefore this was the reason I was having problems sleeping
6$Depression$9/3/2019 9:29:21 AM$Reviewer: Peter Parker, 45-54 on Treatment for less than 1 month (Patient) $3$3$3$Prescribed 15mg for depression and anxiety. After first week increased appetite, not that I had a problem with weight. Virtually knocks me out cold within 1 hour of taking and will sleep for 12  hours. 
7$Depression$8/13/2019 8:50:40 PM$Reviewer: Link68, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) $3$3$3$I am on 15mg for depression I have a lot of stiffness and pain don't know if its my pill or my fibro. Would love to know,  what are my options 
8$Depression$7/27/2019 5:13:39 PM$Reviewer: Nobody2u, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $2$2$5$On 30 mg not very effective so I took 2 pills then slept 24hrs so that felt way better- I’d rather have Ativan or Valium tbh... 
10$Depression$5/10/2019 2:14:33 AM$Reviewer: molove, 35-44 on Treatment for less than 1 month (Patient) $2$1$2$I was put on this and it's made me worse . I feel my limbs go weak always dizzy ... can't function ... and the sweats .. sore ribs ... can't sleep .. I am exausted completely ... I quit last night and hoping for the best ... has anyone else experienced any of the these side effects and I woke up 1st night nearly choking for breath ... This was my 3rd wk on them ... any advice ... 
14$Depression$11/7/2018 11:31:34 PM$Reviewer: 8mrf, 75 or over on Treatment for 1 to 6 months (Patient) $3$2$2$
16$Depression$4/7/2018 12:29:45 PM$Reviewer: 65-74 on Treatment for 2 to less than 5 years (Patient) $5$4$5$
26$Depression$12/20/2016 10:02:53 PM$Reviewer: packers1, 55-64 Female  (Patient) $4$4$5$was very depressed, unable to sleep. Doctor put me on 30mg right away. Such a relief to sleep at night and my depression is easing. I wake without feelings of hopelessness. A very big thumbs up
27$Depression$10/24/2016 6:07:08 PM$Reviewer: wacotx, 65-74 on Treatment for less than 1 month (Patient) $5$5$5$"After trying 4 other drugs for depression, I finally got on this; and it works great!   Depression has subsided, and I sleep much better and rise without a ""hangover"" feeling. No side effects that I can tell."
29$Depression$9/3/2016 7:13:37 AM$Reviewer: zrin, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$i was actually prescribed straight onto 30mg, because i had problems sleeping at night and was depressed. I must say that it had worked for me, straightaway with sleeping and couple of weeks with depression.
30$Depression$8/26/2016 10:44:32 AM$Reviewer: 55-64 Male  on Treatment for 1 to 6 months (Patient) $4$4$4$i have had headaches for weeks n ow and now have had a migraine for 9 days 
32$Depression$8/6/2016 12:52:20 PM$Reviewer: vet4freedom, 55-64 on Treatment for less than 1 month (Patient) $2$2$2$My VA mental health doctor has put me 7.5mg . I have been taking this for 2 weeks but im not feeling the effects . Tonight I will take 15mg and pray that works . I am at my witts end and don't know what to do . 
34$Depression$7/3/2016 8:24:20 PM$Reviewer: nutsrodw, 75 or over Male  on Treatment for less than 1 month (Patient) $1$1$1$"This drug is very dangerous -needs tobe takenoff the market. - 15 mg. caused depression 10 times worse than it was and took 2 days to recover from it.
It actually gave me depression -the worst I ever had.  DONT TAKE IT"
36$Depression$6/19/2016 2:17:02 AM$Reviewer: pistvet, 55-64 on Treatment for 1 to 6 months (Patient) $3$1$3$My VA therapist gave me this. Started at 7.5, then 15mg. Then my next visit I was shocked to hear that I was to start taking 30mg. I TOLD her that that was too much, that the 15mg dose was affecting me strongly already, why 30mg? Started having muscle pain around my ribs so bad I couldn't sleep. Got so logy I walked in front of traffic. Put on 20lbs(2 weeks after quitting, down 10, so far very easy to do). This lasted about a month(you can't get a VA therapist appt. less than 6 weeks away). I stayed up long enough one night that the drug's effects lessened to the degree that I realized what was happening and reduced the dosage myself to 15mg. Wouldn't have been so bad if I would've been taken off the Trazodone first, but I wasn't. The 2 drugs together overloaded my liver apparently, thus magnifying the effects. 
37$Depression$6/9/2016 2:30:11 PM$Reviewer: Lisa, 35-44 on Treatment for 1 to 6 months (Patient) $2$2$2$I started taking this at 7.5mg for a month and then was upped to 15mg for the second month. It took me 2 weeks for my body to adjust to this. The first 2 weeks I slept a lot and found it hard to function. I had a slightly increased appetite and have gained 15-20 pounds since I first started on this. I used to have serious bouts of insomnia but not since I started taking this. At first all I did was sleep and then I felt more regulated and I slept more normal but not great. I did feel tired a lot during the day through the whole 2 months I was on this but I am not going to be taking it anymore because of weight gain. I also felt dizzy in the first 2 weeks and for the whole 2 months at bedtime one of my legs would feel tingly and would involuntarily move like restless leg syndrome. I would have stopped taking this immediately but my doctor made me continue with it and now 20 pounds later I will try something else.
38$Depression$5/30/2016 2:01:46 AM$Reviewer: Carol, 65-74 Female  on Treatment for 1 to 6 months (Patient) $4$5$4$After 4 years on Ambien for sleep no longer worked,took 4 hard weeks to change to mirzapine.  Dosage doubled at that time and sleep returned with dreams.  10 weeks on still sleeping, dreaming longer and sleeping 7-9hrs nightly.  Eating improved (ocular melanoma/1 year out)and weight gain is OK. Feeling SOOOO much better since deep sleep returned. Works with sertraline daytimes.  Overall pain greatly reduced.
39$Depression$5/18/2016 7:25:23 PM$Reviewer: topwater58, 65-74 on Treatment for less than 1 month (Patient) $1$1$1$I started taking mirtazapine 15mg at bed time almost a month ago I have sleep paralysis since starting this drug,its just worth it.
40$Depression$5/14/2016 8:11:30 AM$Reviewer: Suziers, 45-54 on Treatment for less than 1 month (Patient) $3$3$3$Taken for 2 weeks now. Bad..very swollen ankles/legs/fingers; dizziness at any point not just on standing; weight gain - 8 to 14 lb (depending on time of day 
41$Depression$5/11/2016 6:59:48 PM$Reviewer: Dee, 65-74 Female  on Treatment for less than 1 month (Patient) $1$1$5$Only took 7.5mg to start and had a very bad experience: insomnia, palpitations, dry mouth, racing thoughts, general jitters. Took 10+ hours to pass. Very disappointing.....
49$Depression$9/16/2015 11:49:45 PM$Reviewer: jswell, 65-74 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$Aside from weight gain, I have been on Mirtazapine 30 mg for years, along with other meds. I eat like a bird, and I cannot lose weight.  No panic attacks. I also take Klonopin at night, so I sleep very well. I would not take this if I were working. I think the combination of my meds contribute to my weight gain. I get protein, but don't eat more than 1 full meal a day.
50$Depression$9/1/2015 12:42:15 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$5$Felt like a zombie. I was on 15mg at bedtime and I could not function the next day. I felt numb. I was very irritable and really not myself. My body hurt every where. I took myself off after less than a week....I will never take this medication again. 
51$Depression$7/29/2015 2:03:00 PM$Reviewer: 45-54 Female  (Patient) $3$1$3$After 3 days my calves and ankles were swollen.  I also had bad dreams.  I had to take it a bed time because it made me so groggy.
52$Depression$7/17/2015 11:45:28 PM$Reviewer: pdiddle78, 35-44 Female  on Treatment for 1 to 6 months (Patient) $4$3$5$This medication combined with Cymbalta finally pulled me out of a terrible depression I had been suffering for almost 6 months.  The worst side effect was Weight Gain.  I literally gained 40lbs and NOTHING I did (diet, exercise) would drop the weight.  Fortunately, I've been able to come off of it and should enjoy shedding the weight over time.
53$Depression$6/17/2015 1:48:38 PM$Reviewer: Lawro, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$Originally started taking 15mg before ned for insomnia but was then made homeless which caused me to go into deep depression with bad anxiety so upped to 30mg then 45mg. This med helped keep me together. Highly effective at treating depression with big improvements within 3 days. Moderately effective at keeping anxiety at bay. After 6 months it still improves my sleep onset, duration and quality. No side effects noticed apart from extreme drowsiness first few days.
57$Depression$12/19/2014 6:13:06 PM$Reviewer: woofie, 45-54 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$My depression got better and I was able to sleep.  However, the weight gain and increased appetite was awful.  I know it depends on what you eat but I found I was craving sugar and junk food.  Prior to taking Mirtazpine I had no cravings.  I'm off of now.  Will the weight come off easily?
58$Depression$12/17/2014 8:41:11 PM$Reviewer: JB, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) $1$1$5$"I started on Mirtazapine oral, over a year ago. At first I found it to be too sedating and almost stopped taking it. I am now on 30mg but very depressed and short tempered. I have never had problems with panic attacks, now they happen without warning. If anyone has had the same experience please let me know. I am considering to stop taking this useless medication because Its done nothing for me. My Dr. added Prestiq which I stopped as i was turning inot a hermit not bathing or shaving or even clean the house. The withdrawel symptoms were like small shock waves in my brain for at least a month. Now, was put on Abilify and cannot wait to stop taking it. I feel useless I have no energy and fell depressed. I want to mention one more thing about Mirtazaphine oral, yes, it can lead to weight gain. I have gained 40 lbs since I've been on this drug.
"
