$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Schizophrenia$12/5/2011 10:35:41 AM$Reviewer: schiz, 13-18 Male  on Treatment for 2 to less than 5 years (Patient) $4$4$4$
1$Condition: Additional Medications to Treat Depression$11/6/2016 3:28:03 PM$Reviewer: Gina, 19-24 on Treatment for less than 1 month (Patient) $1$1$1$I have a very high tolerance to medication but after 1mg morning and night of Fanapt I felt completely horrible. I thought I might be catching the flu or something but then I realized it was the medicine. It made me feel so out of it. I was drowsy, slow moving and thinking, felt like I was going to faint when I got up and walked around, got headaches, my heart kept racing which made my anxiety worse. I was surprised how strong this medication effected me in such a short time and small dose. Not for me!
2$Condition: Other$4/25/2016 9:38:58 PM$Reviewer: Chris, 19-24 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$When I was ready to give up on medicine all together, I decided why not give this a try my doctor put me on all of the most expensive antidepressants and anti-psychotics for ocd. All of them did not work.I decided to give this medicine a try , I remember taking it long time ago. The only side effect I noticed is weight gain , which can be managed with diet and exercise. Within in days I noticed improvement. 
3$Condition: Schizophrenia$4/4/2016 7:18:44 PM$Reviewer: Chris, 13-18 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$It works well I am on 6mg of Fanapt.It works well for OCD.
4$Condition: Schizophrenia$1/4/2016 7:07:38 PM$Reviewer: Kjarreau, 19-24 Female  on Treatment for 2 to less than 5 years (Patient) $1$1$5$My blood pressure drops dangerously low.
5$Condition: Other$1/19/2015 3:43:37 PM$Reviewer: lisa, 45-54 Female  on Treatment for less than 1 month (Patient) $4$2$5$I have been taking this medication for 12 days now. My voices are almost gone. I still eye some things. The one side affect that I am having is sleeping about 2/3 of the time. People say that I look extremely tired or they say I look like a zombie. After being awake about 15 minutes I feel like i need to sleep. I hate living this way.
6$Condition: Schizophrenia$8/11/2014 6:15:01 PM$Reviewer: TornadoPants, 25-34 Male  on Treatment for 1 to 6 months (Patient) $4$3$5$Seems to be helping with my mood but I now have retrograde ejaculation (no semen comes out when I orgasm) which I can only hope is not permanent.
7$Condition: Additional Medications to Treat Depression$4/30/2014 4:37:55 PM$Reviewer: Moe, 35-44 Male  on Treatment for less than 1 month (Patient) $1$1$1$"This is the most awful medication on the market that can be used to treat bipolar disorder. It is an 'atypical' which is generally not prescribed for this however my doc wanted to try it since other RX weren't having much effect. The side effects were overwhelming with racing heart rate, low blood pressure, muscle aches, fatigue, drowsiness and dizziness being the worst. One major reason I stopped is because of the potential increase in aggression. I'm a competitive athlete and naturally aggressive and I do not want my aggression to become worse or violent. I've already injured myself prior to taking Fanapt due to my natural 'safe' aggressive behavior and recklessness but I do not want it to become a problem of violence where I could hurt others.

One other side effect that can affect athletes or people who exercise regularly is the abnormal rise in heart rate. My resting heart rate is between 40-50 which is very low. I noticed that my heart races to approximately 120 beats per minute or so just doing simple chores around the house. 120 beats per minute is normally a very vigorous workout for me so this is a crazy situation. Fanapt made exercise and training impossible.

Maybe this medication can help others who are resistant to the side effects however the cons outweigh the pros for me. This RX is a no go for me."
8$Condition: Other$9/28/2013 6:47:12 PM$Reviewer: Skylar, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $5$4$5$I experience depression, mania, psychosis, and anxiety, and this really takes the edge off. It hasn't been a cure but has been the only med that really made a difference for me and without horrible side effects. My left hand shakes a little, my mouth is dry, and it made me a little tired when I first started it but that is gone now. The pluses have been majorly decreased anxiety (less panic attacks), less hallucinations, and better depression. I also lost five pounds on this, which either means that I lost weight I gained on the previous med or Fanapt itself made me lose weight. I LOVE this stuff and it has turned me from a student failing all classes to one getting straight As. Fanapt changed my life!
9$Condition: Schizophrenia$9/17/2013 7:34:26 PM$Reviewer: Georgia, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) $2$2$4$Taking 12mg unable to concentrate, lack of motivation, no more sex
10$Condition: Other$7/21/2013 12:14:39 PM$Reviewer: 19-24 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$This is one of the only drugs that has ever helped me. I have been taking Fanapt since early in 2010. Most side effects listed don't impact my life as severely as my disorder did. My selling point was that I was able to lose 50 of the 80 pounds I gained because of other medications. 
