$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Anxiousness associated with Depression$5/17/2015 5:23:34 PM$Reviewer: 55-64 Female  on Treatment for less than 1 month (Patient) $3$2$4$
1$Condition: Anxiousness associated with Depression$1/28/2013 11:31:04 PM$Reviewer: ms.jay007, 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$1$5$i like the fact i canwake up and feel like i can handle the world but the side effects are so bothersome to point i dont want to take meds has anyone encounterd rapid wieght gain? i fell out of shape with my depressive disorder but lost wt but with in a week i noticed wt change and puffiness or a swollen look to my faceand rest of body..anybody?
2$Condition: Anxiousness associated with Depression$1/25/2012 4:51:06 PM$Reviewer: GuyKestner, 45-54 Male  on Treatment for less than 1 month (Caregiver) $1$1$1$a very dangerous drug especially that should be pulled immediately
3$Condition: Schizophrenia$5/4/2011 11:29:41 PM$Reviewer: halburt, 45-54 Male  (Patient) $5$5$5$I've been on loxapine since 1988 and I owe my survival to it. However never stop taking this medicine. You'll have a serious relapse.
4$Condition: Other$4/9/2011 11:19:56 AM$Reviewer: m, 25-34 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$"For treating my schizoaffective disorder, loxapine has been nothing short of a miracle. It allows me to function at a high level while maintaining my stability and I have not been hospitalized since I have been on this medication (2003).  Unfortunately, I was not able to completely stop the zyprexa I had been taking; I still need a small dose of 2.5mg of that as well.  But along with my mood stabilizer (lamictal) and my antidepressant(wellbutrin 
SR), I never dreamed I would be this stable.  I have some side effects, though nothing that bothersome.  I have occasional muscle twitches, which I choose to put up with rather than add yet another medication (like cogentin).  I am almost completely symptom free.  I have read that loxapine is very similar to clozapine, but doesn't cause as much weight gain or blood disorders.  Oh, that's another thing: I have been able to lose over 70 lbs since going on this drug and reducing the zyprexa.  I HIGHLY recommend this drug for schizophrenia or schizoaffective; I'm not sure why it's not prescribed more often.  I suspect it is almost as effective as clozapine."
5$Condition: Mental Disorder with Loss of Normal Personality & Reality$10/22/2009 11:59:03 AM$Reviewer: bruce, 45-54 Male  on Treatment for 5 to less than 10 years (Patient) $3$1$4$suffering severe side effects including tardive dyskenesia
6$Condition: Schizophrenia$5/26/2009 10:15:40 PM$Reviewer: pooh, 35-44 Female  on Treatment for 10 years or more (Patient) $5$2$3$
7$Condition: Anxiousness associated with Depression$1/31/2008 2:35:28 PM$Reviewer: mary1, 55-64 Female  on Treatment for 5 to less than 10 years (Caregiver) $5$5$5$MY HUSBAND HAS TAKEN THIS MEDICATION FOR BIPOLAR DISORDER, AND HAS A BLOCKAGE IN THE COMMON BILE DUCT.  I'M WONDERING IF THE BLOCKAGE COULD BE CAUSED BY TAKING LOXAPINE SUCCINATE 
8$Condition: Schizophrenia$5/28/2009 7:00:40 PM$Reviewer: lannie, 35-44 Female  on Treatment for 10 years or more (Patient) $5$2$3$
9$Condition: Mental Disorder with Loss of Normal Personality & Reality$12/31/2008 8:49:20 PM$Reviewer: sleepy00123, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) $1$1$1$the side effects are horrible
10$Condition: Schizophrenia$7/21/2015 11:33:46 PM$Reviewer: Bobbi, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$4$5$I have been on several different antipsychotics with many side effects, and Loxapine has been very effective in treating my hallucinations and delusions with minimal side effects. The other antipsychotics made me gain weight because I was always hungry which is not the case with Loxapine. I do get fast heartbeats at times, sweat when standing for prolonged periods, and have difficulty falling asleep, but I do take it at night. I sleep well once asleep. and I'm able to think clearly the next day/ I work and go to school and I wouldn't be able to on any of the other antipsychotics that make you drowsy all the time. I do wish I didn't have the blank look on my face all the time, but the benefits definitely outweigh the side effects. I am truly grateful for this drug. It has changed my quality of life. 
11$Condition: Schizophrenia$9/15/2013 8:43:05 PM$Reviewer: 19-24 Male  on Treatment for less than 1 month (Caregiver) $1$1$1$Had allergic reaction with other medications prescribed be careful took 3 days to get out of system
12$Condition: Schizophrenia$9/12/2013 12:58:23 PM$Reviewer: Liliana, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$4$5$After several partially successful trials of atypical antiphsychotics, my doctor decided to try loxapine.  I have mild tardive dyskinesia, but it's hard to say if that is due to the loxapine or the high doses of various combinations of atypical antipsychotics I've taken.  It doesn't make me sedated and I've been able to lose all the weight I gained while taking the atypical antipsychotics.  My blood glucose has increased a little since taking it.  
13$Condition: Other$2/4/2013 3:00:12 AM$Reviewer: Lily, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $4$5$5$wonderful, life changing
14$Condition: Schizophrenia$11/13/2012 10:52:52 PM$Reviewer: 65-74 Female  on Treatment for less than 1 month (Patient) $5$3$5$"It stopped working  Thursday nov 09
what i needed to know was is it normal for the pill to get old.  theurs. i opened a capsule and it only had a few grain of something that looked like sea salt. the next one looked like they had had water they were hard and caked so i was wondering how is normal suppose to look."
15$Condition: Anxiousness associated with Depression$10/14/2012 8:26:47 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$3$
16$Condition: Anxiousness associated with Depression$2/2/2012 12:02:46 PM$Reviewer: Burnslin, 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$5$5$It is a generic drug which makes it inexpensive 24.00 at Walmart. It has lowered my anxiety and decreased suicidal thoughts.
17$Condition: Anxiousness associated with Depression$12/14/2011 10:02:56 AM$Reviewer: 25-34 Male  on Treatment for less than 1 month (Patient) $4$3$3$Helps me remain calm and relaxes my racing thoughts about myself and others.....
