$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Attention Deficit Disorder with Hyperactivity$12/30/2019 10:57:43 AM$Reviewer: Anonymous, 13-18 on Treatment for 1 to 6 months (Patient) $5$3$5$Very powerful for fixing attention problems. It makes it much easier to work, however the side effects are strange and concerning. There is a significant loss of appetite and dry mouth, but these are not terribly strange. While the medicine wears off (which takes hours), paranoia and confusion can set in. While these happen, there is a feeling of freezing despite the actual temperature, possibly due to a lack of food? Either way, very good for what it is meant to do but unfortunate side effects.
1$Condition: Attention Deficit Disorder with Hyperactivity$6/18/2019 2:27:43 AM$Reviewer: 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $4$2$4$Horrible 
2$Condition: Attention Deficit Disorder with Hyperactivity$5/31/2019 11:57:05 PM$Reviewer: Willsmommy09, 7-12 Male  on Treatment for less than 1 month (Patient) $5$5$5$My 9yr old was having so so much trouble in school and having bad anger issues, his pediatrician put him on 18ml methylphenidate and I've seen such a huge difference,  since the 1st day he took it his teacher messaged me to tell me the progress he had!! I'm hoping it continues to work, hes only complained of slight dizziness and some nausea but other than that he says he feels fine:) I'm only upset I didn't take him to the dr sooner! 
3$Condition: Attention Deficit Disorder with Hyperactivity$5/14/2019 9:03:08 AM$Reviewer: Kmennis, 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$4$4$I am an adult with ADHD since childhood. My psychiatrist and I tried several medications including Adderall which gave me mild anxiety. I take Vyvanse during the day and methylphenidate in evenings when I have school work. The methylphenidate helps keep me focused with no side effects. Only issue is that it only lasts a couple hours. Most ADHD medications do not last as long as they are supposed to. Vyvanse is a 12 hr med and I am doing good if I get eight hrs with it. Would prefer to take Vyvanse twice a day, but insurance would never pay for that, so methylphenidate is a great option.
4$Condition: Attention Deficit Disorder with Hyperactivity$4/8/2019 10:07:04 AM$Reviewer: Happy to be me now, 25-34 Female  on Treatment for less than 1 month (Patient) $5$5$5$I have severe ADHD and this medicine makes me feel more normal than with out it. I also have depression and it helps that as well.... I actuallt dont jave any sode effects either. Hope it continues to help me. 
5$Condition: Depression$12/22/2018 7:22:44 PM$Reviewer: Tbk , 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $5$4$5$"The only issue wity methylphenidate is increased anxiety. Despite having depression related to anxiety, I still advocate 100% for this drug. It saved my life. I just wish doctors would see it for what it is - my PCP views it as a dangerous drug that is only for recreational use when not used for ADHD. However my psychiatrist prescribed me Concerta 36mg (switched to methylphenidate SR due to financial reasons) and I haven't been happier. My anxiety is only worse when I'm not productive. But this medication allows me to be. It allows me to get out of bed in the morning. It allows me to shower and get dressed and clean my house. Of the 7 antidepressants I have been on in the past 2 years none have had such a profound effect. 

I truly hope more research is done so that people like myself are able to access the medication they need, despite it being off-label. I have no desire to abuse this drug when it has given me my life back. "
6$Condition: Attention Deficit Disorder with Hyperactivity$4/14/2018 10:19:46 AM$Reviewer: Methylphenidate er, 35-44 on Treatment for 10 years or more (Patient) $4$5$4$I have taken Adderall or Concerta for most of my life and all of my adult life, ironically I'm currently hospitalized with a stage 4 wound located directly above my anus, During this hospitalization they lowered my Concerta from 54mg down to 27mg and upon my insistence and a request it has been increase to 36mg. I feel that 54mg would be a much more effective treatment.
7$Condition: Attention Deficit Disorder with Hyperactivity$10/24/2017 12:19:49 AM$Reviewer: worriedmom, 35-44 Female  on Treatment for 5 to less than 10 years (Caregiver) $1$1$4$My son recently switched to the generic Concerta made by Kremers - almost immediately he began having severe behavior problems, much worse than before. After doing some reading, it sounds like the generic is not equivalent - beware!
8$Condition: Attention Deficit Disorder with Hyperactivity$9/29/2017 7:35:59 AM$Reviewer: joshua picerno, 19-24 Male  on Treatment for 5 to less than 10 years (Patient) $1$1$2$when i took this medicine it made me suicidal i could control what i was becoming i hurt people around me mentally and physically 
9$Condition: Attention Deficit Disorder with Hyperactivity$10/20/2016 11:47:18 AM$Reviewer: Ethan, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$This med does help me to concentrate on tasks better than I was able to prior to taking it. The side effects are not too bad. I do notice that I tend to yawn quite a bit when I'm taking it, but oddly, I'm not tired. It also gives me sweaty palms. Otherwise, I feel it is working well.
