$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Schizophrenia$6/10/2015 4:29:02 AM$Reviewer: Natalie, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I have been on abilify discmelt  for 3 years and I was able to lose 20 pounds with diet and exercise. I also maintained straight A's and graduated with honors.  It has been my miracle drug because it works for schizophrenia.  Please do not stop making it!
1$Condition: Additional Medications to Treat Depression$5/11/2013 9:01:04 AM$Reviewer: ellensmithee, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $1$1$1$"Abilify gave me hallucinations and delusions on the second day when I NEVER had them before. When I complained to my doctor and insisted I would not take it, he threw a fit! Then I learned Medicare pays $683 to the drug-maker for this poison. Apparently, my doctor needed me on this drug to pay for the mags on his Porsche. Do NOT take this poison!"
2$Condition: Additional Medications to Treat Depression$5/7/2013 2:13:23 AM$Reviewer: adonna45, 45-54 Female  on Treatment for 1 to 6 months (Patient) $1$1$1$"I took it for a little over a month. It made me think and do completely psychotic, out of character stuff. Every morning when I woke up I never knew where I was and every day I thought I was places that I cannot begin to explain. One day I didn't know where I was for about 20 minutes, but I was just sure that my ex-husband would be sitting in a chair just outside of my room. Actually there was no room outside of my door to begin with, which made that even weirder. And the fact no men lived at this facility, as it was a shelter for battered women. My ex wasn't even the one I was hiding from, as we had been divorced over a decade. Then one day I really snapped. Was paranoid and mad and scared the staff and so for the second time in 2 weeks they called in a squad of mental health professionals to deal with me. Tem minutes later I forgot the whole thing. Then approx. ten days later I did it again (whatever it was) so they called the cops and the squad people again. I was escorted by four people to the mental ward for observation and didn't know why they were acting so funny. Anyway after all the stories told to me about my behavior over the last month or so, I realized the abilify was the common denominator and stopped taking it that day I and I was fine the very next day. People who know me as a rule are never surprised at my unique behavior and roll with it. But I had become out there and was being 'socially unacceptable""   "
3$Condition: Bipolar I Disorder with Most Recent Episode Mixed$10/1/2012 10:32:48 PM$Reviewer: 35-44 Female  on Treatment for less than 1 month (Patient) $1$1$5$
4$Condition: Mania associated with Bipolar Disorder$7/21/2011 10:46:45 AM$Reviewer: helper, 35-44 Female  on Treatment for 1 to 6 months (Patient) $3$3$3$"Helps me get out of bed and get things done. 
"
5$Condition: Additional Medications to Treat Depression$7/5/2011 12:16:59 PM$Reviewer: 35-44 Male  on Treatment for less than 1 month (Patient) $2$3$1$
6$Condition: Bipolar I Disorder with Most Recent Episode Mixed$9/28/2010 11:14:22 PM$Reviewer: jennifer, 25-34 Female  on Treatment for less than 1 month (Patient) $5$5$5$some constipation..and some more panic attacks
7$Condition: Additional Medications to Treat Depression$12/24/2009 12:30:40 AM$Reviewer: [email protected], 45-54 Male  on Treatment for 1 to 6 months (Patient) $5$4$5$I HAD SOME BREAKING OUT ON MY ARMS NOT SURE WHAT IT WAS BUT IT MADE ME FEEL LIKE A NEW PERSON OR MORE LIKE MYSELF IN YEARS
8$Condition: Additional Medications to Treat Depression$8/14/2009 7:28:38 AM$Reviewer: 45-54 Female  (Patient) $3$3$5$
9$Condition: Mania associated with Bipolar Disorder$3/30/2008 3:19:10 AM$Reviewer: Brandon_McCowan, 19-24 Male  on Treatment for 1 to less than 2 years (Patient) $1$1$4$"I was given this to take by my doctor in conjunction with Lithium, I would take one a day in the evening with lithium 3 times a day (forgot dosage) and I would ""lash out"" at people, including my wife and kids. I stopped taking it, and continued with the lithium and saw/felt no difference at all. After I could no longer pay for the Rx, I was without meds, and to this day (this was over a year ago) I am worse than ever, I am very quick to get angry, and I say things to those I love without thinking prior to, and I think and mumble things to myself that are even worse. I am unclear if this is due to the meds, but I am leaning towards yes. Zyprexa worked well as a child, but I gained a ton og weight. I have been on more meds than I can count since I could remember, and thats the biggest issue, misdiagnosis, and the effects of the wrong Rx. Be careful when deciding."
10$Condition: Other$10/25/2007 7:46:33 AM$Reviewer: 45-54 on Treatment for less than 1 month$1$1$4$Taking it made my psychotic epidode worse.
