$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Other$2/27/2019 11:34:56 AM$Reviewer: Forest2019, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$Have been using 10-15 mg daily, about the last 8 months, for relief of IBS-C. To me, this is like a miracle drug that has given me my life back, as they say. I am amazed how effective this medication is, and I wish I had found it years ago! 
1$Condition: Depression$8/26/2015 12:09:49 AM$Reviewer: Wookers, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) $4$1$3$I was given desipramine to try to reduce acute depression. Only after 2 weeks did I start to improve. HOWEVER, I can NOT recommend this med  -- when I tried to reduce the dosage, I experienced severe migraine headaches which totally wiped me out. When I restarted it, the headaches/flu-like symptoms disappeared. Avoid this drug unless you're prepared to feel physically ill. I switched to Prozac, which was quite good.I'm surprised these old drugs are still available.
2$Condition: Depression$4/10/2014 1:39:51 AM$Reviewer: 45-54 Male  on Treatment for less than 1 month$1$1$1$I took many at ounce and thin walked out of my house to be hit by a car,24 years past I am depressed often and I will not take drugs but life is hell most of the time I'm 53 now 
3$Condition: Other$5/3/2013 9:39:20 PM$Reviewer: heart2survive, 65-74 Female  on Treatment for less than 1 month (Patient) $4$5$5$I started taking this medication when I had an appointment with a pain specialist from Stanford Hospital. I am still working my way up to 50 mg daily am at 40 right now. My main reason for taking it was to counter my numbness in feet hands and balance problems, but worse horrible back spasms. Some lasting as long as six weeks without relief. The doctor is raising the serotonin levels in hopes he can change the pain which seems to originating in my brain. Still working on the possible diagnosis of M.S., often the plaque in the brain does NOT show in MRI or scans. Other than constipation, so far so good. I am sleeping better, but it has not completely stopped the muscle spasms..however I have not  yet reached the therapeutic levels. I don't have depression as an issue, but sometimes I do feel anxious. I am so hoping this works. I fall, have no balance often neuropethy in both arms and legs. Obviously something is going wrong. I am taking this because the pain specialist feels I may benefit from it as he has used it for this purpose before. I will do an update when I have used it for a period of time.
4$Condition: Depression$5/1/2013 6:48:03 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $3$2$4$I stopped taking 10mg of Norpramine in the fall as my depression was better.  I recently was prescribed it again.  I had tingly sensations in my finger tips and my severe constipation returned.  The constipation was so bad it woke me up at night and kept me awake.  I stopped taking it, but still take two other meds for my depression and anxiety.
5$Condition: Other$1/24/2013 10:06:20 AM$Reviewer: 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$5$I wanted to comment because I've used Desipramine, the generic for the last two years for the treatment of severe IBS. I've suffered for years and this treatment has changed my life. I highly recommend as a treatment for IBS. 
6$Condition: Other$12/2/2012 1:47:32 AM$Reviewer: Martini, 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$3$5$I have taken this prescription for three months it really helps with my GERD. The only downfall are the dreams I get n it and the random tingling I get in my leg, but its the only thing that helps. 
7$Condition: Depression$9/9/2012 7:17:23 PM$Reviewer: 55-64 Male  on Treatment for 10 years or more (Patient) $5$5$5$"Have taken for 20+ years. Started taking after dignosed with Epstein Barr and depression. Works well. About twice a year for some reason I go through a week to ten days of mild depression, but over all it works for me. Tried the generic to save money, not as effective. Tried a newer drug some years back on new doctor's recommendation with bad experience, went back to norpramin. Old rule, ""If it works, stay with it."""
8$Condition: Neuropathic Pain$6/13/2012 3:10:50 PM$Reviewer: none, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) $5$5$4$I had burning in my legs for five years before a neurologist put me on norpramin. The pain was gone in a week, after 6 months I stopped taking it, and the burning never came back. Did affect ejaculation
9$Condition: Other$11/9/2011 10:12:34 PM$Reviewer: Azelya, 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$I was put on this for headaches. It was the first pill of five that has done any good, but only at the max dosage. So far I love it, if I don't miss any dosages. :) I seem to get sunburns easily, I'm glad someone else mentioned constipation. I do seem to have that problem for sometime, it now makes sense. I've had problems sleeping as well, which is weird since I sleep like the dead. When i first started, or went on a higher dosage, I was tired practically all day for a week or two. Can't say I'm a depressed person, but my husband has mentioned that I seem happier lately. But I've also had a long break from working too. Anyways, my point, I've had several side effects, but I think it's well worth it. 
10$Condition: Depression$7/29/2011 9:01:31 PM$Reviewer: krasi, 25-34 Female  on Treatment for less than 1 month (Patient) $5$3$5$It works really great since I have been on almost 90% of depression meds and this it the only one that works. The down side is I sweat buckets all day. I have few choices in meds so I have to deal with the constant sweating and it is terrible.
11$Condition: Depression$9/18/2010 11:58:35 PM$Reviewer: new33here, 65-74 Female  on Treatment for 10 years or more (Patient) $5$5$5$Out of all the anti-depressants available, this tri-cyclic worked the best for me...It broke through the depression along with Pamalor......I am very thankful for this...
12$Condition: Depression$8/18/2010 12:02:25 AM$Reviewer: Rob, 35-44 Male  on Treatment for 1 to 6 months (Patient) $5$3$5$I just started taking 100 mg at bedtime. But, I have been very constipated while being on this medicine. Im gona have to talk to the doctor about the constipation problem and hopefully it will go away as I take this longer.
13$Condition: Neuropathic Pain$8/2/2010 3:53:43 PM$Reviewer: LSC1212, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) $1$1$4$Took this medication for about one year and when the physician increased the dosage it caused me to suffer sudden cardiac death.  Thankfully my wife was in the same room when it happened and she knew CPR.  If it wasn't for her this drug (drug class) would of killed me!!
14$Condition: Depression$7/8/2010 7:47:35 PM$Reviewer: jmanders2008, 45-54 Male  on Treatment for 10 years or more (Patient) $4$4$4$My doctor started me first on desipramine (generic version of Norpramin) without success. However when he started me on Norpramin (brand version), I started seeing the first signs of improvement in almost two years. I have been taking the drug now for about twelve years, and will be on it as a measure of prevention for the rest of my life.
15$Condition: Neuropathic Pain$6/13/2010 8:38:56 PM$Reviewer: jojoba, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $3$2$5$i do get some relief from the pain but not enough when it comes 
16$Condition: Depression$9/26/2009 12:47:31 AM$Reviewer: mary, 55-64 Female  on Treatment for 10 years or more (Patient) $5$5$5$have been taking for about 10 yrs--suffered from severe depression prior to taking it--has worked so well, i'll probably take it for the rest of my life--
17$Condition: Depression$8/14/2009 3:37:51 PM$Reviewer: 55-64 Female  on Treatment for 2 to less than 5 years (Patient) $1$1$3$almost died from side effects
