$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Depression$3/25/2019 11:59:33 PM$Reviewer: Rebecca, 45-54 on Treatment for 6 months to less than 1 year (Patient) $5$5$5$When my doctor mentioned Prozac to treat my depression eight months ago, I hesitated to take it. He explained the benefits of prozac. It took me a month to see the positive results. I am so glad I did. I feel wonderful. No more anxiety/panic attacks. 
1$Condition: Depression$3/23/2019 10:17:09 AM$Reviewer: rosan, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $3$1$5$It definitely helped me through hard times. On the good side, i was neutral emotionally. On the bad side I got pssd and also rage symptoms (that i never had) that may remain or may not for the rest of my life.
2$Condition: Depression$12/8/2018 3:36:15 PM$Reviewer: Pdee, 45-54 on Treatment for 10 years or more (Patient) $3$3$3$I have been taking this daily for 19 years. I do not like taking it or the stigma attached. But if I do not take this there is a rapid decline into my behaviour before starting it. Paranoia, ocd and massive depression returns. Tried to reduce dose to come off it, I can't ever according to doctor. I believe taking this has saved me, without it I would be dead. 
3$Condition: Depression$8/28/2018 4:17:48 AM$Reviewer: StaySafe, 45-54 on Treatment for less than 1 month$1$1$1$I see from reviews here a lot of people had good results, I am not one of those people.. Everyone reacts differently..  I took one pill a long time ago and I actually had side-effects that lasted for 10 years. It gave me panic attacks and the taste of burning plastic in my mouth... My first day on Prozac I ended up calling 911, cause I thought I was having a heart attack, but it ended up being my first panic attack along with the taste of burning plastic in my mouth and strange thoughts (disturbing thoughts).. After that ordeal I ended up throwing away that bottle of Prozac.. I find it strange they wont list all the side-effects on this page.. They ask you to talk to your doctor about additional side-effects.. Thats crazy.. I recall the side-effects list being a lot longer back in the day.. And they aren't pretty.. I highly recommend keeping a close eye on a family member that is taking this medication and make sure to ask them if they are having strange thoughts.. You just dont know what someone is capable on this medication.. It can be very dangerous if someone has as severe reaction as myself.. I originaly requested a perscription of prozac from my doctor due to depression from my business going Bankrupt.. I regret ever taking this drug.. I will never take another prescription drug ever again.. So make sure to monitor your loved ones if they must take this drug, cause anything is possible.. 
4$Condition: Depression$8/13/2017 9:04:57 AM$Reviewer: B, 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$4$5$Only had one or two bad patches while of prozac. Made me unable to achieve orgasm.
5$Condition: Depression$5/21/2017 1:14:30 PM$Reviewer: KR, 25-34 Female  on Treatment for 1 to 6 months (Patient) $4$2$3$Side effects outweighed the benefits for me. Terrible night sweats (soaking the sheets!) and jaw clenching, but the kicker was the irrational bruising. If I so much as knicked my shin on anything I'd bruise like a peach and healing time was 3x longer than usual for any cuts etc. 
6$Condition: Depression$5/9/2017 2:11:15 PM$Reviewer: BeMaRe, 25-34 Female  on Treatment for less than 1 month (Patient) $5$5$5$I was previously on Paxil, which was ok. After 5 years, it wore off. I switched to Prozac, and the 'foginess' is gone. My mind is clear. I stopped over eating. I've stopped napping. I had no side effects. For me, this works.
7$Condition: Depression$2/8/2017 2:40:14 PM$Reviewer: 13-18 Female  on Treatment for 1 to 6 months (Patient) $1$1$5$prozac made me have intense thoughts of suicide.
8$Condition: Depression$2/1/2017 5:05:16 PM$Reviewer: 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $5$5$4$The side effects were tough at first, but if I take it on a full stomach, I can handle it. Saved my life, honestly. 80 mg a day. I'm a college student so this helps me keep up with the hectic pace of the ten week quarter system as well as the tragedies that occur in life.
9$Condition: Depression$12/29/2016 12:45:10 AM$Reviewer: 13-18 on Treatment for 1 to 6 months (Patient) $2$2$3$On it for just over a month. It did away with my suicidal thoughts and overall improved my mood but the side effects were too much for me. It caused me to be almost constantly drowsy and unable to focus as I had no energy and was often on the verge of falling asleep. I would constantly pass out midday for an hour or so at a time, and then would struggle to stay asleep at night. I would wake up in the middle of night and had more intense nightmares. These were all daily occurrences. I also experienced dizziness and lightheadedness every few days. Sometimes I'm not sure if Prozac actually helped my mood, or if it just made me too tired to feel anything. I felt fine emotionally but had no motivation to do anything but sleep the entire day.
10$Condition: Depression$12/22/2016 4:20:47 PM$Reviewer: tillyfaye, 35-44 Female  on Treatment for 1 to 6 months (Patient) $2$1$5$I was on this medication for 30 days and the side affects were awful. It gave me severe tremors. So bad that I couldn't write, and it looked I had Parkinson's. I still have tremors to this day and that was 5 years ago when I took them. 
11$Condition: Depression$11/21/2016 11:09:20 PM$Reviewer: darstar007, 45-54 Male  on Treatment for 1 to 6 months (Patient) $1$1$1$"Was on Prozac for 1 month, 20mg dealing with depression from a sudden divorce after 10 years of marriage.  Unfortunately after a month, not only no improvement, but feeling worse than ever.  Doctor is starting me on Lexapro.  I'm really disappointed that it did not help me.  The side effects were not terrible, the worse thing is that is upsets your stomach, but I did not have the ""fogginess"" and brain zaps that I experienced with Zoloft. "
12$Condition: Depression$11/6/2016 1:59:22 PM$Reviewer: Jay, 35-44 Male  on Treatment for 1 to 6 months (Patient) $3$2$3$
13$Condition: Depression$8/31/2016 3:29:59 AM$Reviewer: Bub, 13-18 Male  on Treatment for less than 1 month (Patient) $1$1$3$
14$Condition: Depression$8/29/2016 3:12:51 PM$Reviewer: 65-74 Female  on Treatment for 1 to 6 months (Patient) $3$2$5$I am on the hunt for a new anti-depression med.  The one I took for years had become ineffective.  Prozac gave a definite lift but the side effects were too hard to live with: weight gain (which is not helping my sleep apnea), and excessive loose bowels (difficult to plan anything away from the house), followed by constipation.  One to the next drug which was even worse.
15$Condition: Depression$8/9/2016 4:25:27 PM$Reviewer: T345, 19-24 Female  on Treatment for 1 to 6 months (Patient) $4$4$3$
