$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Additional Medications to Treat Depression$9/13/2019 11:34:46 AM$Reviewer: 65-74 Female  on Treatment for less than 1 month (Patient) $5$5$5$Recently started taking 2.5mg zyprexa for sleep/depression..lowered lexapro from 20mg/daily to 15..hoping to lower lexapro to 10/mg daily..within a couple days of taking zyprexa I am sleeping better and depression is minimal..hoping it continues working like this
1$Condition: Additional Medications to Treat Depression$5/16/2019 12:14:46 PM$Reviewer: 25-34 Male  on Treatment for less than 1 month (Patient) $1$1$1$"I started taking this medication to replace the rexulti I had been taking. Rexulti worked great for my depression but is over $1000 a month, so my doctor prescribed zyprexa. Almost immediately after taking my first dose, I got super drowsy and fell asleep. The entire next day I felt like a zombie, I couldn't concentrate, and I wanted to just sleep all day. I had to leave work early just to go back to sleep, I was that out of it. The second time I took the dose, same thing happened. I'd rather be depressed than feel like I did on zyprexa"
2$Condition: Schizophrenia$5/4/2019 4:51:30 PM$Reviewer: deathstar, 13-18 Female  on Treatment for 6 months to less than 1 year (Patient) $2$1$2$Honesty, for me it sucks. It makes me feel worse than I already do. I take it as a kick starter/anti-psychotic. It never has worked.
3$Condition: Mania associated with Bipolar Disorder$4/23/2019 3:49:09 PM$Reviewer: Celia , 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$3$"It did help me to feel calm but I had severe pain in my legs. Could not sleep at all because of pain. I tried it twice in case the first time was just a fluke but 2nd time was even worse. Idk if anyone else has had this experience. It's not listed in side effects. I also had dramatic increase in appetite. 
"
4$Condition: Additional Medications to Treat Depression$4/7/2019 10:16:56 PM$Reviewer: Kiki, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$1$Stay away from this drug. It almost ruined my life. The withdrawals are so bad I was almost committed. Please find something else. 
5$Condition: Additional Medications to Treat Depression$1/3/2019 3:29:24 PM$Reviewer: Monica, 45-54 Female  on Treatment for 1 to 6 months (Patient) $4$2$5$It worked and it was good for sleeping but I had to stop it because I gained 10 pounds in a month.
6$Condition: Schizophrenia$12/19/2018 11:02:52 AM$Reviewer: Jgah, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$5$Best medication I have taken so far. I have gained no weight.
7$Condition: Other$5/25/2018 8:09:25 AM$Reviewer: Ed McLendon, 55-64 Male  on Treatment for 5 to less than 10 years (Patient) $1$1$5$Remove this poison from the market and force the makers to take it for about a year then make them go cold turkey. See what happens.
8$Condition: Other$5/7/2018 10:01:22 AM$Reviewer: 13-18 Female  on Treatment for less than 1 month (Patient) $1$1$4$
9$Condition: Other$3/8/2018 7:33:01 PM$Reviewer: makenziestratton, 13-18 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$4$"Zyprexa has most certainly been the worst medication I’ve ever taken, the main reason being the weight gain. In 9 months (at most!) I gained nearly 60 pounds which shifted my whole dwindling self esteem. 
This medication also greatly frustrated me because it just really did not help. I have severe OCD, it was so serious that doctors were convinced I was psychotic and had minor schizophrenia. So it honestly felt as though I was just taking a weight gain medication which made me extremely tired. 
I really recommend if you have OCD and your psychiatrist is suggesting this to go over very carefully how this medication will ease your symptoms and actually help your life. 
The only positive about this medication was that it was relatively easy to administer."
10$Condition: Depression associated with Bipolar Disorder, Adjunct Treatment$1/17/2018 7:57:41 PM$Reviewer: Ariadne011, 55-64 on Treatment for 10 years or more (Patient) $5$4$5$For me, Zyprexa is a miracle drug. It works very quickly - the first day I took it, I started sleeping through the night. Racing and negative thoughts filtered out. My comment is, Zyprexa trumps everything - I always know I can take a full dose and the black pit of despair will close up almost instantly.  Having said that, it has significant side effects. Weight gain and tiredness are the main ones. It's sort of a Catch-22 since those things are rather depressing in and of themselves. I've been on it for about 15 years though and while the side effects are still an issue, they are more manageable. It increases sugar cravings, which makes staying on a healthy diet hard, but it is possible. (Weight Watchers diet has worked for me.). Because it's so powerful, I have been able to reduce the dose for periods of time, with reductions in weight and tiredness issues, but I have never been able to come all the way off it.  I guess I have a love-hate relationship with it. But if I'm depressed, I gain weight and feel sluggish anyway, so I'm no worse off.  For me, this drug was a miracle, but you need to be able to maintain a healthy diet and exercise, because the cravings 
11$Condition: Additional Medications to Treat Depression$4/11/2017 9:34:40 AM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $3$2$5$"I've been taking zyprexa for four weeks now and recently added trazodone. Severe anxiety has decreased and I can now go outside by myself again. Severe depression has also decreased, but I am now experiencing ""blank"" mood. Minor weight gain. I will try this for another week and speak to my doctor about ""blank"" feeling which is a real downside."
12$Condition: Schizophrenia$3/15/2017 8:24:59 PM$Reviewer: RSimms, 65-74 Female  on Treatment for 10 years or more (Caregiver) $5$5$5$Miracle medicine.  Gave me my wife back. She started taking it the week it was released.  It took a few weeks for it to reach full effect.  Dose has had to be raised twice over the years.  While Dystonia is listed as a rare side effect, it helped decrease Dystonia symptoms.
13$Condition: Additional Medications to Treat Depression$1/23/2017 5:53:27 AM$Reviewer: 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $1$1$2$Worst drug ever made! I put on 32 Kilos and I'm struggling even with good eating and daily exercise to remove it. Even after stopping the drug. Don't take this drug. Don't trust any doctor who is endorsing this drug is it dangerous deleterious to your health and should be recalled and removed from prescription immediately!
14$Condition: Additional Medications to Treat Depression$10/17/2016 9:51:27 PM$Reviewer: Merikay23, 19-24 on Treatment for less than 1 month (Patient) $4$4$4$"All of my life I have had anxiety and depression. I also have body dysmorphic disorder. I am 23 years old taking prozac and Buspar. These medicines have helped me. But This medication has changed my life. It is awesome! I wish I have had it all of my life. I usually have racing thoughts/voices in my head every day. They are negative voices that tell me ""you're ugly, you're fat,  you're unattractive, nobody wants you, you should disappear, etc."" But this medicine helps more than anything to quiet those negative voices.But if you suffer every day,lIke I do I think this medicine might be good. I used to spend every hour suffering, fighting my thoughts. I couldn't even go into a store. But now don't care as much when I go places. I noticed I am more calm and positive. This medicine makes me want to be more productive and happy. I am on my 2nd-3rd week of taking it. I don't have any side effects so far. This has changed my life and I am so thankful for it. This gives me hope"
15$Condition: Schizophrenia$8/31/2016 1:46:19 AM$Reviewer: 35-44 Male  on Treatment for 10 years or more (Patient) $4$4$5$No other drug i tried worked as well as zyprexa.  Unfortunately it caused diabetes in me.  I still take it because despite the side effects its still better than the alternative.
16$Condition: Bipolar I Disorder with Most Recent Episode Mixed$8/16/2016 4:56:32 AM$Reviewer: grammy lisa, 45-54 on Treatment for 2 to less than 5 years$4$4$4$the obsessive going back to past hurts is gone.
17$Condition: Schizophrenia$7/21/2016 11:25:54 AM$Reviewer: mark s, 55-64 Male  on Treatment for less than 1 month (Patient) $5$3$5$chronic diarrhea but no wait gain.
