$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Other$4/14/2016 4:40:46 PM$Reviewer: 45-54 Female  on Treatment for less than 1 month (Patient) $1$1$5$I have just started this medication and have no relief from my anxiety.
1$Condition: Other$9/10/2014 11:34:48 AM$Reviewer: 55-64 Male  on Treatment for 5 to less than 10 years (Patient) $4$3$4$
2$Condition: Other$7/6/2014 4:39:49 PM$Reviewer: plumdaisy, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$2$5$lithium worked well for me for about five years. although I eventually dropped down from 600mg twice daily to the minimal amount of 300mg twice daily it continued to be toxic. it seems my body just started rejecting it. I would get parched out of the blue, dizzy, and the feeling that my vision was trying to catch up when I turned my head so then my stomach would be upset from it. I did like how lithium worked but I don't understand the rejection after all of this time. bi polar II 
3$Condition: Other$3/1/2014 9:13:38 PM$Reviewer: Jeannieann38, 35-44 Female  on Treatment for 1 to 6 months (Patient) $1$1$1$Treatment for bipolar disorder 1 
4$Condition: Other$7/5/2013 2:58:12 PM$Reviewer: fifenut, 35-44 Male  on Treatment for less than 1 month (Caregiver) $2$2$4$not sure just scared its high powered
5$Condition: Other$7/1/2013 6:37:58 PM$Reviewer: 65-74 Male  on Treatment for less than 1 month (Patient) $3$1$1$My husband has to take a radioactive I131 for Thyroid Cancer treatment and he has to take Lithium prior to that treatment, what does Lithium do? 
6$Condition: Other$1/30/2013 9:24:48 AM$Reviewer: lithum, 45-54 Female  on Treatment for 6 months to less than 1 year (Caregiver) $4$4$5$bipolar
7$Condition: Other$11/29/2012 8:36:02 AM$Reviewer: 35-44 Female  on Treatment for 1 to 6 months (Caregiver) $1$1$3$CAN NOT TAST FOOD
8$Condition: Other$11/1/2012 9:08:41 PM$Reviewer: jj, 35-44 Female  on Treatment for 1 to 6 months (Caregiver) $2$3$3$
9$Condition: Other$9/3/2012 2:20:55 AM$Reviewer: shanie, 35-44 Female  on Treatment for 2 to less than 5 years (Patient) $3$3$4$
10$Condition: Other$5/9/2012 2:02:41 PM$Reviewer: $1$1$1$This is a non essential metal. It inhibits estrogen in females and testosterone in males. It makes you feel terrible. This is the worst thing ever. It should not be on the market. I wish the FDA would take it off the shelves. In Europe and Canada this substance is illegal. :( I wish it was here too. This stuff is just awful.
11$Condition: Other$3/17/2012 2:30:32 PM$Reviewer: $1$1$1$AWFUL! DO NOT INGEST THIS TOXIN!!!!!
12$Condition: Other$3/6/2012 7:41:56 PM$Reviewer:  (Patient) $1$1$1$Yet another toxic dietary supplement. Completely dangerous.
13$Condition: Other$3/6/2012 7:40:00 PM$Reviewer: $1$1$1$LITHIUM IS NOT SAFE! THIS STUFF MADE ME FEEL TERRIBLE! I FELT LIKE I WAS POISONED! DO NOT INGEST THIS POISON!
14$Condition: Other$1/30/2012 3:58:29 PM$Reviewer: Marilyn, 55-64 Female  on Treatment for 2 to less than 5 years (Caregiver) $1$1$5$I've not been able to reach a theraputic level even w/ increases in the amount .
15$Condition: Other$11/17/2011 9:52:00 AM$Reviewer: biostudent, 25-34 Female  on Treatment for less than 1 month (Patient) $1$1$2$I was taking lithium orotate and experience promising results to the extremes of my moods. Then, I decided to try this different compound of lithium.  Immediately it caused great anxiety. I think i might be beneficial for other patients, besides bipolar disorder, but for me the lithium orotate compound works the best.  
16$Condition: Other$6/1/2010 5:33:54 PM$Reviewer: $1$2$3$
17$Condition: Other$5/19/2010 7:55:22 PM$Reviewer: Tutsy13, 25-34 Female  on Treatment for less than 1 month (Patient) $4$3$1$I am using Lithium and it give me the shakes.  Plus, I wake up in the early moring.  This axiety was so bad I ended up in a phych ward.  So, I stopped it and will ask my psychiatrist.  I have quit Lithum as well because both drugs have interactions with prozac--so that just make me more anxious.
18$Condition: Other$1/15/2010 1:15:17 AM$Reviewer: 35-44 Male  on Treatment for 1 to less than 2 years (Patient) $4$1$5$
19$Condition: Other$12/20/2009 12:48:05 AM$Reviewer: Maggie, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $3$3$5$"My mind just goes extremly fast Like being Hyper active..  I am not Manic Depressant..
Using Lithium helps me to be somewhat balanced. It use to be like I'd talk so fast the words couldn't come out fast enough.  Lithium has helped stop that, but my body acts slow and I put on over 60Lbs"
20$Condition: Other$10/5/2009 9:19:11 PM$Reviewer: 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$4$Made me much more patient
21$Condition: Other$9/18/2009 4:42:22 AM$Reviewer: 25-34 Female  on Treatment for less than 1 month (Patient) $1$1$3$very drowse, lack of energy, wasn't able to interact with other easily, felt dizzy when standing up and moving around, I'd become dazed, I would space out and not even realize I was 
22$Condition: Other$9/7/2009 9:53:14 AM$Reviewer: shione, 55-64 Female  on Treatment for less than 1 month$4$4$5$I have been taking 1 5mg in the morning,I started out taking 1 in the morning and 1 at night but it made me dream too much and kept me from a sound sleep. I do get head aches, but have found that if I take an asprin I am fine. I am taking it to help with brain fog,and I think it is working i will wait till I have finished the bottle,but so far I do feel more alert.
