$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Depression$11/11/2019 1:15:21 PM$Reviewer: 75 or over Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$I am on 7.5 mg mirtazapine and it helps me get my 8 hours of sleep every night. I am taking this specifically for sleeping hey what's happened trouble getting to sleep at night until I started on this drug. I found that I was also depressed from the loss of my husband therefore this was the reason I was having problems sleeping
1$Condition: Depression$9/3/2019 9:29:21 AM$Reviewer: Peter Parker, 45-54 on Treatment for less than 1 month (Patient) $3$3$3$Prescribed 15mg for depression and anxiety. After first week increased appetite, not that I had a problem with weight. Virtually knocks me out cold within 1 hour of taking and will sleep for 12  hours. 
2$Condition: Depression$8/13/2019 8:50:40 PM$Reviewer: Link68, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) $3$3$3$I am on 15mg for depression I have a lot of stiffness and pain don't know if its my pill or my fibro. Would love to know,  what are my options 
3$Condition: Depression$7/27/2019 5:13:39 PM$Reviewer: Nobody2u, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $2$2$5$On 30 mg not very effective so I took 2 pills then slept 24hrs so that felt way better- I’d rather have Ativan or Valium tbh... 
4$Condition: Depression$5/10/2019 2:14:33 AM$Reviewer: molove, 35-44 on Treatment for less than 1 month (Patient) $2$1$2$I was put on this and it's made me worse . I feel my limbs go weak always dizzy ... can't function ... and the sweats .. sore ribs ... can't sleep .. I am exausted completely ... I quit last night and hoping for the best ... has anyone else experienced any of the these side effects and I woke up 1st night nearly choking for breath ... This was my 3rd wk on them ... any advice ... 
5$Condition: Depression$11/7/2018 11:31:34 PM$Reviewer: 8mrf, 75 or over on Treatment for 1 to 6 months (Patient) $3$2$2$
6$Condition: Depression$4/7/2018 12:29:45 PM$Reviewer: 65-74 on Treatment for 2 to less than 5 years (Patient) $5$4$5$
7$Condition: Depression$12/20/2016 10:02:53 PM$Reviewer: packers1, 55-64 Female  (Patient) $4$4$5$was very depressed, unable to sleep. Doctor put me on 30mg right away. Such a relief to sleep at night and my depression is easing. I wake without feelings of hopelessness. A very big thumbs up
8$Condition: Depression$10/24/2016 6:07:08 PM$Reviewer: wacotx, 65-74 on Treatment for less than 1 month (Patient) $5$5$5$"After trying 4 other drugs for depression, I finally got on this; and it works great!   Depression has subsided, and I sleep much better and rise without a ""hangover"" feeling. No side effects that I can tell."
9$Condition: Depression$9/3/2016 7:13:37 AM$Reviewer: zrin, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $4$4$4$i was actually prescribed straight onto 30mg, because i had problems sleeping at night and was depressed. I must say that it had worked for me, straightaway with sleeping and couple of weeks with depression.
10$Condition: Depression$8/26/2016 10:44:32 AM$Reviewer: 55-64 Male  on Treatment for 1 to 6 months (Patient) $4$4$4$i have had headaches for weeks n ow and now have had a migraine for 9 days 
11$Condition: Depression$8/6/2016 12:52:20 PM$Reviewer: vet4freedom, 55-64 on Treatment for less than 1 month (Patient) $2$2$2$My VA mental health doctor has put me 7.5mg . I have been taking this for 2 weeks but im not feeling the effects . Tonight I will take 15mg and pray that works . I am at my witts end and don't know what to do . 
12$Condition: Depression$7/3/2016 8:24:20 PM$Reviewer: nutsrodw, 75 or over Male  on Treatment for less than 1 month (Patient) $1$1$1$"This drug is very dangerous -needs tobe takenoff the market. - 15 mg. caused depression 10 times worse than it was and took 2 days to recover from it.
It actually gave me depression -the worst I ever had.  DONT TAKE IT"
