$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Bipolar Depression$12/9/2019 12:43:38 PM$Reviewer: I Need A Vacation, 35-44 on Treatment for less than 1 month (Patient) $3$1$3$I've been on this for 5 days now and all I want to do is sleep. Have a difficult time getting out of bed in the morning. I don't feel depressed but I'm still agitated with everything.  I feel like I'm in a fog and cant think clearly.  I started out with 50mg until last night and now I'm on 100mg.  Still feel groggy and I've noticed that I can't talk without stumbling.  I think I'm going to call my doctor and request a different drug.  I just don't feel right on this. Have a dry mouth and throat, tired, head fog, agitated feeling, dizzy and just overall not feeling well. In the past the drugs that worked the best didn't make me feel like this at all.  They worked great from the start but eventually stopped working which is why I'm on this one.  Need a replacement. 
1$Condition: Bipolar Depression$3/21/2019 9:25:19 PM$Reviewer: sail2sunset, 75 or over Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$Doctor originally ordered 100 mg. That was too strong for me. Now using 50 mg and find the effect is soothing. I don't notice many side effects. I take several meds so I often have dry mouth. 
2$Condition: Bipolar Depression$11/25/2018 12:06:40 AM$Reviewer: Subatomic.wave, 45-54 on Treatment for 5 to less than 10 years (Patient) $4$5$4$I've learned when you take to much it does not work as well.it's easy to up the mgs in a short time.if you start gaining weight fast your taking to much.and with this med you need to seriously give up vatted Lardy fast foods.Any thing fried,bread.and watch your sugers.exercise as best and don't just ride a bike.you'll loose everywhere,but get a belly.lots of water.walking and running does real well.as for energy this med zaps you when your taking to much.back off and seriously get off your ass.get your metabolism going i.e bike.that's easy.but that won't take away the belly.crunches and moving with diet and your on your way.but most of all you just gotta get sick and discusted with yourself.if not.you'll get fatter more tired and diabetic and die.if you do here written you won't need the other meds.oh and the more fresh foods you eat the happier you'll beð???
3$Condition: Bipolar Depression$10/1/2017 2:25:24 PM$Reviewer: gramcracker, 65-74 on Treatment for 1 to less than 2 years (Patient) $5$3$5$I've been on this medication for 1-1/2yrs. At first it was awesome, my moods stabilized almost immediately;about 6 mo. ago I started gaining weight, feeling listless, too much sleep and most recently more ups and downs. my dr. keeps telling me this is normal and I should just go on a diet and start exercing to keep my weight down; almost impossible when you just can't find the ambision to do so; I also have high blood pressure and high cholesterol since taking it so now i'm on med's for that too...my moods are starting to become more down than up so the dr. told me to go see a therapist. I've been seeing therapists for 5 yrs. now and they are all the same; not interested in going back to one; i'll just live with this and hope for the best
4$Condition: Bipolar Depression$8/27/2016 6:59:48 PM$Reviewer: Pam, 19-24 Female  on Treatment for 1 to 6 months (Patient) $5$5$5$It has done wonders for my bipolar disorder, im sleeping better, im not waking up or going to bed with anxiety anymore. I would suggest this medication to anyone suffering from bipolar disorder or any other mental illness
5$Condition: Bipolar Depression$8/23/2016 5:27:36 PM$Reviewer: I feel good, 45-54 on Treatment for 5 to less than 10 years (Patient) $3$1$3$Started taking 200mg along with Lamectal. Within 20 minutes I was so tired I could hardly talk. I no longer had high/low but I felt like a zombie-no emotions at all, always tired and dragging, no desire to do anything. Decreased to 100mg and felt emotionally better but still had a hard time completing tasks. Here it is 7 years later with a new doctor. After learning more about the side effects I decided I had had enough. We made a plan to get off quetiapine- SLOWLY to prevent a manic/depressive episode. It took 6 months and I am totally off it. I had to retrain myself to fall asleep drug-free but I did it. I feel 100% better! My head's not foggy, I have energy, projects are actually getting completed. This does not feel like the manic highs I've experienced before. I just feel good. Like a new lease on life. Do your research and talk with your doctor before taking this drug.
6$Condition: Bipolar Depression$6/21/2016 11:49:05 AM$Reviewer: Average New York Professional, 35-44 Female  on Treatment for less than 1 month (Patient) $4$3$5$"I'm at the two-week point. And while it's still a bit painful to get out of bed, once I do I no longer feel ""stoned."" There is a light at the end of the tunnel.

Days one through five were as follows: 50 mg, 100 mg, 200 mg, 300 mg, 400 mg.  Then it was a matter of getting my body acclimated to 400 mg, which I thought would never happen. 

If you are able to take vacation/sick days/medical leave, I do suggest it. I did not. Either way, just know it does get better within a matter of weeks. "
