$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Depression$12/23/2018 6:00:43 PM$Reviewer: Oly, 55-64 on Treatment for less than 1 month (Patient) $1$1$1$Day 2 i felt really bad had shortness of breath bad anxiety.  Was afraid to leave my house just couldn't focus on anything. 
1$Condition: Depression$1/21/2018 2:17:03 PM$Reviewer: D1nonlysnshn, 55-64 Female  on Treatment for less than 1 month (Patient) $5$5$5$"I have been a ""highly funtioning"" depressed person for many years: life of the party, witty, intelligent, charming, intelligent conversationalist, highly successful at the top of the food chain in my field,
...until I got home. Work was an escape from myself for me. If I had no weekend functions to attend I would be catatonic, only getting out of bed to use the bathroom.
I had always felt like an outsider, looking in on life, trying to imitate what everyone else was doing, but never getting it quite right and others sensing that I was a fake.

I retired in Jan '17. Not having work as an escape anymore, in Dec my depression got again very bad. I talked to my girlfriend and she recommended sertraline as it has helped her. On 5 Jan, I saw the doctor, she prescribed 25mg as a started dose for 8 days, then 50mg, with a follow up 6 weeks later to see if the dose would need to be increased.
I experienced loose stools, wake/sleep cycle issues, decreased appetite, jaw tightness and jittery feeling initially. I experimented with taking my dose at night because it seemed that immediately after taking it, I had to go back to sleep. Taking it at night then kept me up. So I went back to taking it in the morning, as I figured it was a matter of me getting used to the med.
It has only been 2 weeks, but it seems like a lifetime ago.  The anxiety subsided first, then my depression. I no longer think of the smallest thing as the greatest catastrophe, my thoughts are no longer chasing around in my head like a bunch of squirrels and I am off the emotional roller coaster.  Thoughts from my past no longer send me into apoplexy. 
I no longer feel like a walking dead person-dead on the inside, waiting for physical death to catch up with me. No not suicidal-many years ago I came to the realization that I can only live once for a limited amount of time, but death is forever. Also, as long as I was alive, I always had a choice, but once I was dead, there was no coming back."
2$Condition: Depression$8/8/2017 4:48:16 AM$Reviewer: THAI_PATIENT&#39;s, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $4$4$4$It's work for me, how ever I feel some triggers came out by medication side effect. (BTW I'm a few patient that feel sleepy  after take med.)
3$Condition: Depression$7/15/2017 12:04:47 PM$Reviewer: Superman, 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I have taken this medication for over 13 years.  I never had any suicidal or negative feelings when I started taking it.  I just got extremely irritated with people and thought I was as strong as superman to take on anyone; I had a very short temper.  This medication has been very effective for me. I have tried to reduce the dose to completely eliminate it, but once I do not take the full dose, my supermen strength returns.
4$Condition: Depression$3/20/2017 6:33:02 AM$Reviewer: Matt, 35-44 on Treatment for less than 1 month (Patient) $4$5$4$I'm on only my 4th day with Sertraline, 50mg, Aurobindo branded. My first prescription and my first attempt at beating this. They helped me immediately within 30 minutes of taking my first.  My outlook and spirit has lifted hugely.  I feel less fear to think about and talk about my problems and begin beating them. I have some intermittent shaky vision from them, but not so much it's a concern. Also my appetite is strange. I'm getting hungry, but quickly feel full during a meal. I take one tablet daily and the effects are lasting long enough to get me to the next tablet without any problem. I have a 28 day prescription with counselling to begin very soon.  I will update if anything changes.
5$Condition: Depression$8/23/2016 11:33:33 AM$Reviewer: LIFE IS FOR LIVING, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$5$"I probably was always prone to mild depression and the odd mood, but the strain of looking after my aged and ill father for about 4 years 24/7 took it's toll.  As my wife said at times it was like treading on eggshells with me.  I was put on 50mg of Sertraline and after a week or two I felt human and happy again.  I came off the tablets last week after about 3 years (had tried after one but it was too soon) and feel fine.  If I suffered any side effects then not sure what as some things could be put down to getting older although not too old, just coming up 59, but feeling tired at times and yawning is about as bad as it got.  Maybe some colic but easily sorted with the very occasional domperidone pill.

Anyway for me Sertraline was good.  "
6$Condition: Depression$8/12/2016 1:31:16 AM$Reviewer: Jennifer, 45-54 on Treatment for 1 to less than 2 years (Patient) $4$3$4$"There is a difference between sertraline and Zoloft (generic vs. brand name). Not all sertraline manufacturers are the same. I take the one made by aurobindo. After taking it for over a year (after a 15 yr break from name brand Zoloft which didn't give me any trouble), I started waking up with severe anxiety a few mornings/week. I feel like something terrible is going to happen and had to take an inventory of what's going on for the day so I could calm down.I have breakthrough depression where I'm depressed for twenty minutes or so, then it just disappears for days. I get really tired but have trouble sleeping. I also get shooting pains through the side of my head and more ""regular"" headaches on top of my typical migraines. I've checked on this and there are issues with the generic. I'm going to see if I can switch to the original Zoloft or ask Walgreens to change manufacturers. Look up your manufacturer, check out other people's experiences and print it out to show your doc if you need to. We all know that some don't like to listen to patients. The first generic manufacturer was green-something. I did get an *extremely* dry mouth and eyes, but after a few months it got better."
7$Condition: Depression$2/15/2016 7:08:30 PM$Reviewer: 55-64 on Treatment for 10 years or more (Patient) $5$5$5$I have taken this medication for 20 years. A dosage of 50 mgs daily. There are side effects, sleep disturbances and increased appetite but they are easier to cope with than the depression.
8$Condition: Depression$2/3/2016 9:06:42 AM$Reviewer: 13-18 Female  on Treatment for less than 1 month$1$1$3$2 Days after I started, I felt worse. I was absolutely miserable, I had suicidal thoughts, no appetite, and I just wanted to sleep. No willpower, no strength, nothing. A week after I missed a dosage and the next day I felt so much better. I was happier and smiling and could actually eat. Overall, I absolutely hate it. 
9$Condition: Depression$7/6/2015 6:07:40 PM$Reviewer: chester, 65-74 Male  on Treatment for less than 1 month (Patient) $1$1$3$In March, I mentioned to my MD that I was feeling slightly depressed. He prescribed Sertraline (Zoloft). Stopped after 5 days because of severe side effects (insomnia, diarrhea,nausea,headaches). Side effects stopped immediately. About a week later developed a rash, starting on torso, spreading from chin to ankles. In next week or 2 developed blisters over entire body, covering nearly every sq. inch. Very painful. couldn't sleep . This is now July. Most blisters have gone. Some scabbing remains with a few open sores. Treatment began in April and will continue for 2 more months. 5 doctors feel that (although not 100% certain) that the Zoloft caused it since that was the only drug recently introduced. The result was a condition called Bullous pemphigoid, a rare skin condition. Although I'm sure that many people will tolerate this drug, I can only suggest that they proceed with caution and stop it at the first sign of side effects. This is the worst condition I have ever experienced. Docs also mentioned that this is more common in people over 60.
10$Condition: Depression$5/29/2015 11:54:16 AM$Reviewer: dnholdcraft, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$5$I was prescribed this medication to treat my depression and social anxiety. It's worked wonders for the anxiety. Interacting with others (even strangers!) is much more comfortable now. It helped my depression for the first year. But for the last few months I've been constantly sleepy, no energy whatsoever. I've been late to work often because I can't drag myself out of bed in the mornings. I don't want to give up on it because it's helping with my other problems. But maybe it works better when supplemented with another anti-depressant?
11$Condition: Depression$4/29/2015 6:09:59 PM$Reviewer: maggie, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $1$1$5$over a long period of use, at first was effective now after a year of use...I have developed symptoms..such as dry cough, depression and irritability with people, side ache and upper abdomen pain, stabbing pains and back pain, headaches...Im stopping this stuff to half pill for a couple of days then completely off it. I feel tremendously sad that lab animals were put thru such pain to try out this drug.
12$Condition: Depression$4/24/2015 9:13:21 PM$Reviewer: Sertraline Feedback, 55-64 Male  on Treatment for 1 to 6 months (Patient) $1$1$5$Really didn't help me. Had problems with easy bleeding and insomnia. Stopped about 3 weeks ago, and now I sleep better and bleeding has decreased (blood noses and easy cuts). Doctor was not happy, said I had to see him again. No way. I came off the same way I went on, gradually over two weeks, 25  MG a day for those two weeks. Personally, my Therapist was far better for me, and she doesn't give me drugs. If this works for you, great! If it doesn't, no need to take it. 
