$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Other$12/26/2016 1:33:05 PM$Reviewer: 55-64 Female  on Treatment for 1 to less than 2 years (Patient) $3$3$5$
1$Condition: Other$10/28/2015 5:32:03 PM$Reviewer: LA, 45-54 Female  on Treatment for less than 1 month (Patient) $2$1$5$I have been prescribed this twice for pain. Once for pleurisy pain and now for kidney stones. Supposed to take one every 6 hours. It takes 2 hours for Tramadol to begin easing pain SLIGHTLY, then it only works for about 2 hours. Thus I suffer for the last two hours before time to take next dose. doc said to take with Extra Strength Tylenol to increase pain relief effectiveness. Pitiful excuse for pain reliever but doc won't give me anything stronger despite being his patient for 11 years. Time to shop for new doctor.
2$Condition: Other$7/14/2014 9:28:51 PM$Reviewer: TKennedy, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) $5$5$5$I have taken this medication for 2 yrs now due to nerve damage.  I have had no issues with interactions or side effects.  It has worked so well that I thought it was not working, but if I skip just one dose I definitely feel the difference.  It keeps my hand from cramping and curling into claws on heavy days at work.
3$Condition: Other$7/14/2014 7:57:23 PM$Reviewer: 55-64 Male  on Treatment for 1 to 6 months (Patient) $3$3$3$
4$Condition: Other$7/6/2014 1:44:27 AM$Reviewer: Sgt. Killgood, 55-64 Male  on Treatment for less than 1 month (Patient) $1$1$1$It don't work .
5$Condition: Other$6/28/2014 11:57:10 AM$Reviewer: bigun77039, 65-74 Male  on Treatment for 5 to less than 10 years (Patient) $5$5$5$I had Restless Leg Syndrome,lower back pain, insomnia, depression, anxiety, and some other problems. I've been taking Tramadol for over 9 years now and if I run out of it I will end up in the emergency room. before this 9 year period, I was seeing a psychiatrist regularly and had many hospitalizations for mental problems for over 20 years before I started Tramadol. None of their psychiatric medications worked very well. Since I have been taking Tramadol (9 Years Now)I have not had to see a psychiatrist. There are some bad side effects such as memory loss, slight depression, tiredness, and a few other things, but the benefits greatly outweigh the side effects. I have had to adjust the amounts over the years and now taking two 50MG tabs three times daily. This seems to be the best for me. I believe solving the lower back pains has been the major part of solving my problems.
6$Condition: Other$6/9/2014 9:13:10 PM$Reviewer: 75 or over on Treatment for 2 to less than 5 years (Patient) $5$5$5$
7$Condition: Other$4/7/2014 5:32:39 PM$Reviewer: webbmeb , 65-74 Female  on Treatment for less than 1 month (Patient) $1$1$4$I've just recently been diagnosed with fibromyalgia and I do not like to take meds but I was in such pain the other night so I took 1 pill.  It did not even touch the pain. I wanted to know the side effects of this meds but it does not show that. 
8$Condition: Other$8/16/2013 5:19:20 PM$Reviewer: $1$1$1$
9$Condition: Other$3/16/2013 4:37:57 AM$Reviewer: quasm, 65-74 Female  on Treatment for 1 to 6 months (Patient) $4$5$5$
10$Condition: Other$10/7/2012 12:57:15 AM$Reviewer: T9548, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) $4$4$4$
11$Condition: Other$8/6/2012 7:47:14 PM$Reviewer: 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$5$5$
12$Condition: Other$8/2/2012 3:52:15 PM$Reviewer: pwwpea, 45-54 Male  on Treatment for 1 to 6 months (Patient) $4$4$5$I have used this drug only after very active, physicaly demanding days because I do not like to take pills. One at the end of that day and one the next morning gets me to be able to function fairly easily. I am of the mentallity that if I had no pain, I would deffinitely over do it. This takes most pain away with little to no side affects.
13$Condition: Other$11/5/2011 9:12:33 AM$Reviewer: 55-64 Female  on Treatment for less than 1 month (Patient) $2$1$2$This medication has not been useful due to the fact that it has not stopped the pain.  Directions from the doctor states it should be taken by mouth every 6 hours as needed.  Over the counter medications have done just as well.
14$Condition: Other$6/10/2011 2:20:51 PM$Reviewer: rfox6, 45-54 Male  on Treatment for 1 to 6 months (Patient) $5$5$5$other than constipation I have had no issues with Tramadol
15$Condition: Other$6/9/2011 6:04:20 PM$Reviewer: ahardwick, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) $4$3$5$I was given Tramadol to help with my lower back pain.  I can only take this drug at night because it makes me very sleepy.  It does help with my back pain and gives me a restful night but, as mentioned earlier, I can ONLY take it at night. 
16$Condition: Other$4/21/2011 3:17:53 PM$Reviewer: XOJJ3E3, 65-74 Male  on Treatment for 1 to 6 months (Patient) $4$1$4$WITHDRAWAL 
17$Condition: Other$3/9/2011 7:10:26 PM$Reviewer: john, 55-64 Female  on Treatment for less than 1 month (Patient) $3$3$3$
