$conditionInfo$date$reviewer$Effectiveness$Satisfaction$Ease of Use$Comment
0$Condition: Schizophrenia$1/7/2016 12:50:28 AM$Reviewer: sadsoul, 35-44 on Treatment for 1 to 6 months (Patient) $3$2$3$I went off of zyprexa and went on zeldox. I lost 20lbs everyone asked if I was working out. I still don't know how I'm supposed to be feeling. if you miss a dose you will not be able sleep. and you will sleep a lot -10-12hours. I went off zeldox cold turkey. my speech was better. my tongue was swollen and that went back to normal. I had hacking coughs choking on my own spit .the spit would go down the wrong way. I did not tell my doctor. I thought things were going fine. I told him that I wasn't taking my pills I am now on latuda. I have had it for about a month. im not sure how I am am to feel
1$Condition: Schizophrenia$8/24/2014 3:57:12 PM$Reviewer: Anne, 19-24 Female  on Treatment for 1 to less than 2 years (Patient) $5$1$2$"I was prescribed this medicine because I hear voices. It has worked very well, despite having a difficult time transitioning onto it. I have heard some voices, but they are minimal. However, we had to put me on such a high dosage that I was falling asleep in class. Even on a lower dosage, I had to take an hour to two-hour nap every day and could not stay awake for more than thirty minutes in the car. Then we switched to taking it all at night (another rough transition) but I was still low on energy, so we lowered it again.
We are thinking of lowering the dosage once more, but it is incredibly scary gambling with mental illness, especially during the semester. I can only pray I will not hear voices again.
This drug has the worst withdrawal out of every anti-psychotic I have taken. If I miss the time I'm supposed to take it by two hours, or even one, I begin to feel terrible. My pupils dilate significantly during withdrawals. If I miss taking it during a meal and take it on an empty stomach, it does not kick in for at least an hour. It keeps me awake when I have not taken it as well.
Even talking about this medicine makes me feel terrible. I can only hope that I will eventually switch onto another medication without an episode."
2$Condition: Schizophrenia$8/6/2014 3:19:14 AM$Reviewer: Graveyard Master, 13-18 Female  on Treatment for 6 months to less than 1 year (Patient) $1$1$5$
3$Condition: Schizophrenia$10/19/2013 4:55:43 PM$Reviewer: [email protected], 45-54 Female  on Treatment for 5 to less than 10 years (Patient) $5$5$5$
4$Condition: Schizophrenia$5/31/2013 1:44:50 PM$Reviewer: shorty, 35-44 Male  on Treatment for 1 to 6 months (Patient) $1$1$1$makes me sleep 17 hours
5$Condition: Schizophrenia$1/24/2013 8:58:06 PM$Reviewer: Schizobus, 25-34 Male  on Treatment for 2 to less than 5 years (Patient) $5$5$4$I suffer schizoaffective disorder. I switched from Abilify to Geodon mostly because I could only tolerate a low dose of Abilify, which wasn't providing enough therapeutic value. I now take 60mg of Geodon in the morning with breakfast and 80mg of Geodon in the evening with dinner for a total of 140mg daily. I have been taking over 100mg of Geodon daily for about two years now. Geodon helps prevent my psychosis and balances out my mood. I suffer bad akathisia in the evening a few times a week for a few hours with this drug. Most of the time I just try to sleep when akathisia strikes and I awake feeling better. I sleep a lot on this drug: I usually sleep 5 to 7 hours a night and then another 2 to 4 hours in a nap. I find it crucial to take my doses with a meal, as the oral bioavailability is allegedly reduced in half when consuming the drug without food. I sometimes feel as though I withdraw from the drug if I take my dose off schedule or if I have been unable to consistently take the drug with a meal. The withdrawal begins to manifest in symptoms of anxiety and nausea. I have never been overweight but my weight has fluctuated quite a bit in a range of 40lbs since I started taking antipsychotic drugs. I find Geodon doesn't make me gain so much weight for an antipsychotic but I currently have a BMI of 22. Geodon is probably my favorite neuroleptic of the five that I have tried so far.
6$Condition: Schizophrenia$11/10/2011 6:43:31 AM$Reviewer: tammy, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) $5$3$5$I started this drug after a brief stay in the hospital, it seems to help my schizophrnia, my symptoms have subsided tremndoulsy. i do have restless legs when i take it but overall doing good.
7$Condition: Schizophrenia$6/16/2011 9:51:21 PM$Reviewer: OldArtistSoul, 25-34 Female  on Treatment for 5 to less than 10 years (Patient) $4$4$5$"I've been on Geodon now for almost 9 years. I'm schizoaffective. This medication really helps with the psychotic symptoms of my disorder like the delusions and the hallucinations. It also helps me sleep at night since I take it in the evening. I get blood draws every 6 months to keep an eye on my blood sugar levels. Am taking Geodon with Depakote ER, and Zoloft. Works great together. Actually feel productive and ""normal"" most days."
